Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,Anonymous,0.8928,0.872,0.8928,0.8645,0.7483,0.3104,0.2408,0.3026,1549,4.28,0.2,6.0,2.0,0.05,,,
LogisticRegression,CTGAN_HYBRID,0.8933,0.8725,0.8933,0.8662,0.7122,0.3608,0.2529,0.3112,1549,4.28,0.2,6.0,2.0,0.05,300,1,36168
LogisticRegression,GaussianCopula_HYBRID,0.8829,0.7797,0.8829,0.8281,0.7319,0.3373,-0.0002,-0.0038,1549,4.28,0.2,6.0,2.0,0.05,300,1,36168
LogisticRegression,TVAE_HYBRID,0.8757,0.8458,0.8757,0.8546,0.7264,0.3974,0.2125,0.2322,1549,4.28,0.2,6.0,2.0,0.05,300,1,36168
LogisticRegression,Anonymous,0.8941,0.8749,0.8941,0.8657,0.7548,0.3069,0.2471,0.3123,2073,5.73,0.2,6.0,2.0,0.3,,,
LogisticRegression,CTGAN_HYBRID,0.8938,0.8739,0.8938,0.8666,0.7238,0.3331,0.2545,0.3149,2073,5.73,0.2,6.0,2.0,0.3,300,1,36168
LogisticRegression,GaussianCopula_HYBRID,0.8829,0.7797,0.8829,0.8281,0.6767,0.3468,-0.0002,-0.0038,2073,5.73,0.2,6.0,2.0,0.3,300,1,36168
LogisticRegression,TVAE_HYBRID,0.8849,0.8526,0.8849,0.8519,0.6708,0.4877,0.1653,0.2176,2073,5.73,0.2,6.0,2.0,0.3,300,1,36168
LogisticRegression,Anonymous,0.8941,0.8749,0.8941,0.8657,0.7548,0.3069,0.2471,0.3123,2073,5.73,0.2,6.0,2.0,1.0,,,
LogisticRegression,CTGAN_HYBRID,0.8936,0.8735,0.8936,0.866,0.7095,0.3388,0.2503,0.3116,2073,5.73,0.2,6.0,2.0,1.0,300,1,36168
LogisticRegression,GaussianCopula_HYBRID,0.8829,0.7797,0.8829,0.8281,0.6767,0.3468,-0.0002,-0.0038,2073,5.73,0.2,6.0,2.0,1.0,300,1,36168
LogisticRegression,TVAE_HYBRID,0.8927,0.8722,0.8927,0.8632,0.7388,0.3677,0.2312,0.297,2073,5.73,0.2,6.0,2.0,1.0,300,1,36168
