Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
RandomForest,Anonymous,0.8931,0.8717,0.8931,0.8703,0.7767,0.3671,0.2852,0.3288,1549,4.28,0.2,6.0,2.0,0.05,,,
RandomForest,CTGAN_HYBRID,0.8925,0.8713,0.8925,0.8639,0.6965,0.6206,0.2371,0.2989,1549,4.28,0.2,6.0,2.0,0.05,300,1,36168
RandomForest,GaussianCopula_HYBRID,0.883,0.7797,0.883,0.8281,0.6418,0.3571,0.0,0.0,1549,4.28,0.2,6.0,2.0,0.05,300,1,36168
RandomForest,TVAE_HYBRID,0.8817,0.8521,0.8817,0.8581,0.7421,0.6977,0.2219,0.2511,1549,4.28,0.2,6.0,2.0,0.05,300,1,36168
RandomForest,Anonymous,0.8953,0.8758,0.8953,0.873,0.7762,0.3665,0.3,0.3459,2073,5.73,0.2,6.0,2.0,0.3,,,
RandomForest,CTGAN_HYBRID,0.8938,0.8745,0.8938,0.8652,0.7046,0.4776,0.2437,0.3094,2073,5.73,0.2,6.0,2.0,0.3,300,1,36168
RandomForest,GaussianCopula_HYBRID,0.883,0.7797,0.883,0.8281,0.6555,0.3452,0.0,0.0,2073,5.73,0.2,6.0,2.0,0.3,300,1,36168
RandomForest,TVAE_HYBRID,0.8896,0.8655,0.8896,0.8565,0.6869,1.3634,0.1883,0.2563,2073,5.73,0.2,6.0,2.0,0.3,300,1,36168
RandomForest,Anonymous,0.8938,0.8731,0.8938,0.8716,0.7761,0.3875,0.2932,0.3364,2073,5.73,0.2,6.0,2.0,1.0,,,
RandomForest,CTGAN_HYBRID,0.8927,0.8729,0.8927,0.8621,0.7007,0.5437,0.2227,0.2928,2073,5.73,0.2,6.0,2.0,1.0,300,1,36168
RandomForest,GaussianCopula_HYBRID,0.883,0.7797,0.883,0.8281,0.6408,0.3565,0.0,0.0,2073,5.73,0.2,6.0,2.0,1.0,300,1,36168
RandomForest,TVAE_HYBRID,0.8847,0.8578,0.8847,0.8623,0.7248,0.9618,0.247,0.2774,2073,5.73,0.2,6.0,2.0,1.0,300,1,36168
