Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,Anonymous,0.876,0.8347,0.876,0.8446,0.6062,2.0868,0.1321,0.1626,1549,4.28,0.2,6.0,2.0,0.05,,,
KNN,CTGAN_HYBRID,0.8781,0.8278,0.8781,0.8376,0.5781,2.8826,0.0749,0.1118,1549,4.28,0.2,6.0,2.0,0.05,300,1,36168
KNN,GaussianCopula_HYBRID,0.8775,0.799,0.8775,0.8278,0.5203,2.7734,0.006,0.0128,1549,4.28,0.2,6.0,2.0,0.05,300,1,36168
KNN,TVAE_HYBRID,0.8767,0.8254,0.8767,0.8372,0.5908,2.2869,0.0753,0.1081,1549,4.28,0.2,6.0,2.0,0.05,300,1,36168
KNN,Anonymous,0.8767,0.8362,0.8767,0.8454,0.6099,2.0627,0.1368,0.1683,2073,5.73,0.2,6.0,2.0,0.3,,,
KNN,CTGAN_HYBRID,0.8731,0.8157,0.8731,0.8333,0.5863,2.4965,0.0546,0.0768,2073,5.73,0.2,6.0,2.0,0.3,300,1,36168
KNN,GaussianCopula_HYBRID,0.8748,0.7985,0.8748,0.8273,0.5106,2.4196,0.0077,0.0138,2073,5.73,0.2,6.0,2.0,0.3,300,1,36168
KNN,TVAE_HYBRID,0.8812,0.8267,0.8812,0.8327,0.5801,2.6747,0.0338,0.0738,2073,5.73,0.2,6.0,2.0,0.3,300,1,36168
KNN,Anonymous,0.8767,0.8362,0.8767,0.8454,0.6099,2.0627,0.1368,0.1683,2073,5.73,0.2,6.0,2.0,1.0,,,
KNN,CTGAN_HYBRID,0.8766,0.8239,0.8766,0.8364,0.5875,2.609,0.0692,0.1011,2073,5.73,0.2,6.0,2.0,1.0,300,1,36168
KNN,GaussianCopula_HYBRID,0.8748,0.7985,0.8748,0.8273,0.5106,2.4196,0.0077,0.0138,2073,5.73,0.2,6.0,2.0,1.0,300,1,36168
KNN,TVAE_HYBRID,0.8694,0.8259,0.8694,0.8399,0.5997,2.5734,0.114,0.1339,2073,5.73,0.2,6.0,2.0,1.0,300,1,36168
