Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,Anonymous,0.8766,0.8354,0.8766,0.8448,0.6049,2.098,0.1324,0.1641,1447,4.0,0.2,2.0,2.0,0.05,,,
KNN,CTGAN_HYBRID,0.8782,0.8276,0.8782,0.8374,0.5798,2.6588,0.0728,0.1098,1447,4.0,0.2,2.0,2.0,0.05,300,1,36168
KNN,GaussianCopula_HYBRID,0.8774,0.7998,0.8774,0.8279,0.5217,2.7046,0.0071,0.0149,1447,4.0,0.2,2.0,2.0,0.05,300,1,36168
KNN,TVAE_HYBRID,0.8419,0.81,0.8419,0.8242,0.5965,2.5002,0.0745,0.0775,1447,4.0,0.2,2.0,2.0,0.05,300,1,36168
KNN,Anonymous,0.8769,0.8367,0.8769,0.8457,0.6092,2.0811,0.1383,0.1702,1858,5.14,0.2,2.0,2.0,0.3,,,
KNN,CTGAN_HYBRID,0.8099,0.8214,0.8099,0.8155,0.6007,1.5205,0.1349,0.1354,1858,5.14,0.2,2.0,2.0,0.3,300,1,36168
KNN,GaussianCopula_HYBRID,0.8688,0.8006,0.8688,0.827,0.5051,2.6556,0.0171,0.0245,1858,5.14,0.2,2.0,2.0,0.3,300,1,36168
KNN,TVAE_HYBRID,0.817,0.8107,0.817,0.8138,0.6033,2.4863,0.0838,0.0839,1858,5.14,0.2,2.0,2.0,0.3,300,1,36168
KNN,Anonymous,0.8769,0.8367,0.8769,0.8457,0.6092,2.0811,0.1383,0.1702,1858,5.14,0.2,2.0,2.0,1.0,,,
KNN,CTGAN_HYBRID,0.8714,0.8266,0.8714,0.8401,0.5802,2.3447,0.1101,0.133,1858,5.14,0.2,2.0,2.0,1.0,300,1,36168
KNN,GaussianCopula_HYBRID,0.8688,0.8006,0.8688,0.827,0.5051,2.6556,0.0171,0.0245,1858,5.14,0.2,2.0,2.0,1.0,300,1,36168
KNN,TVAE_HYBRID,0.8326,0.8079,0.8326,0.8193,0.5847,2.5933,0.0673,0.0687,1858,5.14,0.2,2.0,2.0,1.0,300,1,36168
