Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,Anonymous,0.8927,0.8717,0.8927,0.8643,0.7486,0.3104,0.2395,0.3014,1447,4.0,0.2,2.0,2.0,0.05,,,
LogisticRegression,CTGAN_HYBRID,0.8932,0.8723,0.8932,0.866,0.7055,0.3398,0.2517,0.3101,1447,4.0,0.2,2.0,2.0,0.05,300,1,36168
LogisticRegression,GaussianCopula_HYBRID,0.8829,0.7797,0.8829,0.8281,0.7338,0.3373,-0.0002,-0.0038,1447,4.0,0.2,2.0,2.0,0.05,300,1,36168
LogisticRegression,TVAE_HYBRID,0.8607,0.8389,0.8607,0.8479,0.7192,0.4617,0.2089,0.2144,1447,4.0,0.2,2.0,2.0,0.05,300,1,36168
LogisticRegression,Anonymous,0.8941,0.8749,0.8941,0.8657,0.7547,0.3069,0.2471,0.3123,1858,5.14,0.2,2.0,2.0,0.3,,,
LogisticRegression,CTGAN_HYBRID,0.8826,0.8622,0.8826,0.8685,0.7388,0.3606,0.3044,0.3183,1858,5.14,0.2,2.0,2.0,0.3,300,1,36168
LogisticRegression,GaussianCopula_HYBRID,0.8829,0.7797,0.8829,0.8281,0.6964,0.3439,-0.0002,-0.0038,1858,5.14,0.2,2.0,2.0,0.3,300,1,36168
LogisticRegression,TVAE_HYBRID,0.7776,0.8285,0.7776,0.7996,0.6652,1.1229,0.1564,0.1631,1858,5.14,0.2,2.0,2.0,0.3,300,1,36168
LogisticRegression,Anonymous,0.8941,0.8749,0.8941,0.8657,0.7547,0.3069,0.2471,0.3123,1858,5.14,0.2,2.0,2.0,1.0,,,
LogisticRegression,CTGAN_HYBRID,0.8932,0.8723,0.8932,0.8661,0.6903,0.3348,0.2526,0.3105,1858,5.14,0.2,2.0,2.0,1.0,300,1,36168
LogisticRegression,GaussianCopula_HYBRID,0.8829,0.7797,0.8829,0.8281,0.6964,0.3439,-0.0002,-0.0038,1858,5.14,0.2,2.0,2.0,1.0,300,1,36168
LogisticRegression,TVAE_HYBRID,0.8891,0.864,0.8891,0.8556,0.719,0.4738,0.1828,0.2499,1858,5.14,0.2,2.0,2.0,1.0,300,1,36168
