Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,Anonymous,0.8927,0.8715,0.8927,0.8649,0.7507,0.3099,0.2441,0.3038,1468,4.06,0.2,14.0,2.0,0.05,,,
LogisticRegression,CTGAN_HYBRID,0.8935,0.8732,0.8935,0.8659,0.7028,0.352,0.25,0.3108,1468,4.06,0.2,14.0,2.0,0.05,300,1,36168
LogisticRegression,GaussianCopula_HYBRID,0.8828,0.7797,0.8828,0.828,0.7333,0.3368,-0.0004,-0.0054,1468,4.06,0.2,14.0,2.0,0.05,300,1,36168
LogisticRegression,TVAE_HYBRID,0.892,0.8697,0.892,0.8643,0.7283,0.4999,0.2418,0.2988,1468,4.06,0.2,14.0,2.0,0.05,300,1,36168
LogisticRegression,Anonymous,0.8927,0.8715,0.8927,0.8649,0.7507,0.3099,0.2441,0.3038,1468,4.06,0.2,14.0,2.0,0.3,,,
LogisticRegression,CTGAN_HYBRID,0.8883,0.8647,0.8883,0.868,0.724,0.3369,0.2815,0.3118,1468,4.06,0.2,14.0,2.0,0.3,300,1,36168
LogisticRegression,GaussianCopula_HYBRID,0.8828,0.7797,0.8828,0.828,0.7333,0.3368,-0.0004,-0.0054,1468,4.06,0.2,14.0,2.0,0.3,300,1,36168
LogisticRegression,TVAE_HYBRID,0.8906,0.8667,0.8906,0.8631,0.7125,0.4074,0.2361,0.2895,1468,4.06,0.2,14.0,2.0,0.3,300,1,36168
LogisticRegression,Anonymous,0.8927,0.8715,0.8927,0.8649,0.7507,0.3099,0.2441,0.3038,1468,4.06,0.2,14.0,2.0,1.0,,,
LogisticRegression,CTGAN_HYBRID,0.8925,0.8706,0.8925,0.8663,0.6722,0.3467,0.2558,0.3093,1468,4.06,0.2,14.0,2.0,1.0,300,1,36168
LogisticRegression,GaussianCopula_HYBRID,0.8828,0.7797,0.8828,0.828,0.7333,0.3368,-0.0004,-0.0054,1468,4.06,0.2,14.0,2.0,1.0,300,1,36168
LogisticRegression,TVAE_HYBRID,0.8818,0.8506,0.8818,0.8562,0.6887,0.3976,0.2063,0.2391,1468,4.06,0.2,14.0,2.0,1.0,300,1,36168
