Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.4278,0.4344,0.4278,0.4309,0.5673,20.5793,0.1267,0.1268
DecisionTree,Original,0.4446,0.4509,0.4446,0.4475,0.5836,20.0167,0.1517,0.1518
KNN,Anonymous,0.4813,0.4259,0.4813,0.4332,0.5848,6.6228,0.0975,0.1053
KNN,Original,0.4781,0.422,0.4781,0.4311,0.587,6.5115,0.0958,0.103
LogisticRegression,Anonymous,0.5463,0.3602,0.5463,0.4236,0.721,1.0337,0.1517,0.2206
LogisticRegression,Original,0.5694,0.3768,0.5694,0.4522,0.7521,0.9618,0.2318,0.2893
RandomForest,Anonymous,0.5077,0.4357,0.5077,0.4503,0.6858,1.2877,0.1548,0.1685
RandomForest,Original,0.5312,0.4718,0.5312,0.4836,0.7311,1.1975,0.2131,0.2254
SVM,Anonymous,0.5302,0.3703,0.5302,0.3887,N/A,N/A,0.0735,0.1708
SVM,Original,0.5302,0.3703,0.5302,0.3887,N/A,N/A,0.0735,0.1708
