Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.4314,0.4416,0.4314,0.436,0.5729,20.4584,0.137,0.1372
DecisionTree,Original,0.4476,0.4545,0.4476,0.4508,0.5851,19.9025,0.1571,0.1572
KNN,Anonymous,0.477,0.4205,0.477,0.4286,0.5801,6.6424,0.0902,0.0975
KNN,Original,0.4781,0.422,0.4781,0.4311,0.587,6.5115,0.0958,0.103
LogisticRegression,Anonymous,0.5509,0.3625,0.5509,0.4328,0.7363,1.0,0.1801,0.239
LogisticRegression,Original,0.5694,0.3768,0.5694,0.4522,0.7521,0.9618,0.2318,0.2893
RandomForest,Anonymous,0.4984,0.451,0.4984,0.464,0.6894,1.4557,0.1703,0.1763
RandomForest,Original,0.5296,0.4721,0.5296,0.483,0.7303,1.2204,0.2115,0.2234
SVM,Anonymous,0.5302,0.3703,0.5302,0.3887,,,0.0735,0.1708
SVM,Original,0.5302,0.3703,0.5302,0.3887,,,0.0735,0.1708
