run_name,total_sec,preprocessing_sec,anonymization_sec,synthesis_sec,ctgan_sec,tvae_sec,gaussian_sec,train_sec,evaluation_sec
crimeData_anon_k10_l2_sl0.01,,2.0,6.0,,,,,17149.0,
crimeData_anon_k10_l2_sl0.05,,2.0,7.0,,,,,23662.0,
crimeData_anon_k10_l2_sl0.1,25394.0,10.0,13.0,,,,,22785.0,2578.0
crimeData_anon_k10_l3_sl0.01,,4.0,9.0,,,,,23792.0,
crimeData_anon_k10_l3_sl0.05,,2.0,7.0,,,,,23650.0,
crimeData_anon_k10_l3_sl0.1,,2.0,7.0,,,,,23432.0,
crimeData_anon_k10_l4_sl0.01,,4.0,14.0,,,,,23683.0,
crimeData_anon_k10_l4_sl0.05,,2.0,7.0,,,,,24009.0,
crimeData_anon_k10_l4_sl0.1,,2.0,8.0,,,,,23559.0,
crimeData_anon_k10_l5_sl0.01,,2.0,7.0,,,,,22731.0,
crimeData_anon_k10_l5_sl0.05,,2.0,7.0,,,,,23819.0,
crimeData_anon_k10_l5_sl0.1,,2.0,6.0,,,,,23908.0,
crimeData_anon_k15_l2_sl0.01,,2.0,7.0,,,,,24066.0,
crimeData_anon_k15_l2_sl0.05,,2.0,6.0,,,,,23284.0,
crimeData_anon_k15_l2_sl0.1,25159.0,9.0,13.0,,,,,22500.0,2627.0
crimeData_anon_k15_l3_sl0.01,,3.0,6.0,,,,,23172.0,
crimeData_anon_k15_l3_sl0.05,,3.0,6.0,,,,,23371.0,
crimeData_anon_k15_l3_sl0.1,,2.0,6.0,,,,,19194.0,
crimeData_anon_k15_l4_sl0.01,,3.0,6.0,,,,,24078.0,
crimeData_anon_k15_l4_sl0.05,,2.0,7.0,,,,,23458.0,
crimeData_anon_k15_l4_sl0.1,,3.0,7.0,,,,,23656.0,
crimeData_anon_k15_l5_sl0.01,24753.0,10.0,13.0,,,,,22192.0,2528.0
crimeData_anon_k15_l5_sl0.05,25525.0,10.0,12.0,,,,,22987.0,2506.0
crimeData_anon_k15_l5_sl0.1,,4.0,7.0,,,,,23754.0,
crimeData_anon_k20_l2_sl0.01,,2.0,6.0,,,,,26176.0,
crimeData_anon_k20_l2_sl0.05,,3.0,6.0,,,,,25807.0,
crimeData_anon_k20_l2_sl0.1,,2.0,6.0,,,,,25765.0,
crimeData_anon_k20_l3_sl0.01,,2.0,6.0,,,,,25766.0,
crimeData_anon_k20_l3_sl0.05,,2.0,7.0,,,,,25815.0,
crimeData_anon_k20_l3_sl0.1,,2.0,7.0,,,,,25715.0,
crimeData_anon_k20_l4_sl0.01,,3.0,6.0,,,,,20325.0,
crimeData_anon_k20_l4_sl0.05,,3.0,6.0,,,,,25715.0,
crimeData_anon_k20_l4_sl0.1,,3.0,5.0,,,,,25169.0,
crimeData_anon_k20_l5_sl0.01,,4.0,9.0,,,,,25898.0,
crimeData_anon_k20_l5_sl0.05,,2.0,7.0,,,,,25963.0,
crimeData_anon_k20_l5_sl0.1,,2.0,7.0,,,,,26176.0,
crimeData_anon_k2_l2_sl0.01,,2.0,7.0,,,,,23761.0,
crimeData_anon_k2_l2_sl0.05,,2.0,9.0,,,,,24057.0,
crimeData_anon_k2_l2_sl0.1,,3.0,7.0,,,,,24160.0,
crimeData_anon_k2_l3_sl0.01,,2.0,7.0,,,,,23581.0,
crimeData_anon_k2_l3_sl0.05,,2.0,6.0,,,,,23582.0,
crimeData_anon_k2_l3_sl0.1,,3.0,6.0,,,,,24393.0,
crimeData_anon_k2_l4_sl0.01,,2.0,6.0,,,,,24138.0,
crimeData_anon_k2_l4_sl0.05,,2.0,7.0,,,,,23458.0,
crimeData_anon_k2_l4_sl0.1,,2.0,7.0,,,,,22861.0,
crimeData_anon_k2_l5_sl0.01,25753.0,9.0,12.0,,,,,23525.0,2197.0
crimeData_anon_k2_l5_sl0.05,25586.0,9.0,12.0,,,,,23007.0,2549.0
crimeData_anon_k2_l5_sl0.1,25581.0,10.0,13.0,,,,,23114.0,2433.0
crimeData_anon_k3_l2_sl0.01,,3.0,7.0,,,,,23348.0,
crimeData_anon_k3_l2_sl0.05,,2.0,7.0,,,,,23786.0,
crimeData_anon_k3_l2_sl0.1,,2.0,7.0,,,,,23559.0,
crimeData_anon_k3_l3_sl0.01,,3.0,6.0,,,,,24280.0,
crimeData_anon_k3_l3_sl0.05,,3.0,6.0,,,,,23695.0,
crimeData_anon_k3_l3_sl0.1,,3.0,7.0,,,,,24096.0,
crimeData_anon_k3_l4_sl0.01,,4.0,8.0,,,,,24132.0,
crimeData_anon_k3_l4_sl0.05,,2.0,7.0,,,,,24014.0,
crimeData_anon_k3_l4_sl0.1,25232.0,10.0,12.0,,,,,22545.0,2656.0
crimeData_anon_k3_l5_sl0.01,,2.0,6.0,,,,,22718.0,
