Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows
DecisionTree,CTGAN,0.3762,0.4383,0.3762,0.3978,,,0.0131,0.0135,0.3,,,,40.0,974477.0
DecisionTree,GaussianCopula,0.4018,0.4214,0.4018,0.4107,,,-0.0127,-0.0127,0.3,,,,40.0,974477.0
DecisionTree,TVAE,0.4158,0.4353,0.4158,0.4236,,,0.0097,0.0098,0.3,,,,40.0,974477.0
KNN,CTGAN,0.2361,0.0558,0.2361,0.0902,,,0.0,0.0,0.3,,,,40.0,974477.0
KNN,GaussianCopula,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.3,,,,40.0,974477.0
KNN,TVAE,0.1637,0.0268,0.1637,0.046,,,0.0,0.0,0.3,,,,40.0,974477.0
LogisticRegression,CTGAN,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.3,,,,40.0,974477.0
LogisticRegression,GaussianCopula,0.2361,0.0558,0.2361,0.0902,,,0.0,0.0,0.3,,,,40.0,974477.0
LogisticRegression,TVAE,0.2361,0.0558,0.2361,0.0902,,,0.0,0.0,0.3,,,,40.0,974477.0
RandomForest,CTGAN,0.575,0.4562,0.575,0.4742,,,0.0454,0.0643,0.3,,,,40.0,974477.0
RandomForest,GaussianCopula,0.5863,0.4523,0.5863,0.4403,,,0.0019,0.0079,0.3,,,,40.0,974477.0
RandomForest,TVAE,0.5553,0.4458,0.5553,0.4682,,,0.0293,0.0372,0.3,,,,40.0,974477.0
SVM,CTGAN,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.3,,,,40.0,974477.0
SVM,GaussianCopula,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.3,,,,40.0,974477.0
SVM,TVAE,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.3,,,,40.0,974477.0
DecisionTree,CTGAN,0.3625,0.4363,0.3625,0.3892,,,0.0057,0.0059,0.4,,,,50,10000
DecisionTree,GaussianCopula,0.3691,0.4298,0.3691,0.3908,,,-0.0027,-0.0028,0.4,,,,50,10000
DecisionTree,TVAE,0.4076,0.4155,0.4076,0.408,,,-0.0144,-0.0147,0.4,,,,50,10000
KNN,CTGAN,0.1637,0.0268,0.1637,0.0461,,,0.0,0.0,0.4,,,,50,10000
KNN,GaussianCopula,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.4,,,,50,10000
KNN,TVAE,0.1637,0.0268,0.1637,0.0461,,,0.0,0.0,0.4,,,,50,10000
LogisticRegression,CTGAN,0.275,0.3915,0.275,0.2025,,,-0.0058,-0.0119,0.4,,,,50,10000
LogisticRegression,GaussianCopula,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.4,,,,50,10000
LogisticRegression,TVAE,0.5862,0.3461,0.5862,0.4352,,,-0.0026,-0.0196,0.4,,,,50,10000
RandomForest,CTGAN,0.5841,0.4328,0.5841,0.4415,,,0.0015,0.0049,0.4,,,,50,10000
RandomForest,GaussianCopula,0.5878,0.4537,0.5878,0.4382,,,0.001,0.0063,0.4,,,,50,10000
RandomForest,TVAE,0.5795,0.416,0.5795,0.4399,,,-0.0029,-0.0077,0.4,,,,50,10000
SVM,CTGAN,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.4,,,,50,10000
SVM,GaussianCopula,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.4,,,,50,10000
SVM,TVAE,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.4,,,,50,10000
