Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows
DecisionTree,Anonymous,0.4117,0.4236,0.4117,0.4172,,,-0.0098,-0.0098,0.2,15.0,5.0,0.01,,
KNN,Anonymous,0.5173,0.4963,0.5173,0.5047,,,0.1175,0.1181,0.2,15.0,5.0,0.01,,
LogisticRegression,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,15.0,5.0,0.01,,
RandomForest,Anonymous,0.5662,0.4069,0.5662,0.4386,,,-0.0152,-0.0293,0.2,15.0,5.0,0.01,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,15.0,5.0,0.01,,
DecisionTree,Anonymous,0.4288,0.4201,0.4288,0.4241,,,-0.016,-0.016,0.2,2.0,5.0,0.01,,
KNN,Anonymous,0.5173,0.4963,0.5173,0.5046,,,0.1174,0.1181,0.2,2.0,5.0,0.01,,
LogisticRegression,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,2.0,5.0,0.01,,
RandomForest,Anonymous,0.5645,0.4047,0.5645,0.4381,,,-0.0166,-0.0313,0.2,2.0,5.0,0.01,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,2.0,5.0,0.01,,
DecisionTree,Anonymous,0.4312,0.4201,0.4312,0.4251,,,-0.0157,-0.0157,0.2,5.0,5.0,0.01,,
KNN,Anonymous,0.5173,0.4963,0.5173,0.5046,,,0.1174,0.1181,0.2,5.0,5.0,0.01,,
LogisticRegression,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,5.0,5.0,0.01,,
RandomForest,Anonymous,0.566,0.4068,0.566,0.4385,,,-0.0153,-0.0294,0.2,5.0,5.0,0.01,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,5.0,5.0,0.01,,
