Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows
DecisionTree,Anonymous,0.4177,0.4215,0.4177,0.4189,,,-0.0134,-0.0134,0.2,10.0,2.0,0.1,,
KNN,Anonymous,0.5173,0.4963,0.5173,0.5047,,,0.1175,0.1181,0.2,10.0,2.0,0.1,,
LogisticRegression,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,10.0,2.0,0.1,,
RandomForest,Anonymous,0.5694,0.4036,0.5694,0.4381,,,-0.0132,-0.0276,0.2,10.0,2.0,0.1,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,10.0,2.0,0.1,,
DecisionTree,Anonymous,0.4177,0.426,0.4177,0.4215,,,-0.0054,-0.0054,0.2,15.0,2.0,0.1,,
KNN,Anonymous,0.5173,0.4963,0.5173,0.5047,,,0.1175,0.1181,0.2,15.0,2.0,0.1,,
LogisticRegression,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,15.0,2.0,0.1,,
RandomForest,Anonymous,0.5644,0.4101,0.5644,0.4391,,,-0.016,-0.0298,0.2,15.0,2.0,0.1,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,15.0,2.0,0.1,,
DecisionTree,Anonymous,0.4319,0.449,0.4319,0.4397,,,0.0335,0.0335,0.4,5.0,2.0,0.1,,
KNN,Anonymous,0.5931,0.5764,0.5931,0.5818,,,0.2564,0.2578,0.4,5.0,2.0,0.1,,
LogisticRegression,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.4,5.0,2.0,0.1,,
RandomForest,Anonymous,0.5839,0.4895,0.5839,0.4983,,,0.0894,0.1142,0.4,5.0,2.0,0.1,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.4,5.0,2.0,0.1,,
