Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.4312,0.4201,0.4312,0.4251,,,-0.0157,-0.0157
DecisionTree,Original,0.4237,0.4221,0.4237,0.4227,,,-0.012,-0.012
KNN,Anonymous,0.5173,0.4963,0.5173,0.5046,,,0.1174,0.1181
KNN,Original,0.5173,0.497,0.5173,0.505,,,0.1183,0.1189
LogisticRegression,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0
LogisticRegression,Original,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0
RandomForest,Anonymous,0.566,0.4068,0.566,0.4385,,,-0.0153,-0.0294
RandomForest,Original,0.5659,0.4238,0.5659,0.4446,,,-0.0059,-0.0103
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0
SVM,Original,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0
