Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows,rows_generated_at_runtime
DecisionTree,TVAE,0.4019,0.4464,0.4019,0.4172,0.5091,21.5567,0.0259,0.0265,0.2,,,,100.0,974477.0,260402
KNN,TVAE,0.5888,0.3467,0.5888,0.4364,0.5,1.3534,0.0,0.0,0.2,,,,100.0,974477.0,260402
LogisticRegression,TVAE,0.5698,0.4918,0.5698,0.4927,0.6585,1.0818,0.0785,0.0962,0.2,,,,100.0,974477.0,260402
RandomForest,TVAE,0.5807,0.4943,0.5807,0.5084,0.5869,1.2817,0.109,0.1285,0.2,,,,100.0,974477.0,260402
DecisionTree,TVAE,0.398,0.444,0.398,0.415,0.508,21.7,0.0225,0.023,0.2,,,,1000.0,974477.0,260402
KNN,TVAE,0.5888,0.3467,0.5888,0.4364,0.5,6.8204,0.0,0.0,0.2,,,,1000.0,974477.0,260402
LogisticRegression,TVAE,0.564,0.4742,0.564,0.4791,0.6426,1.0986,0.0507,0.0648,0.2,,,,1000.0,974477.0,260402
RandomForest,TVAE,0.5734,0.4804,0.5734,0.487,0.5888,1.2704,0.0648,0.0834,0.2,,,,1000.0,974477.0,260402
DecisionTree,TVAE,0.388,0.4415,0.388,0.4072,0.5095,22.0572,0.0185,0.0189,0.2,,,,300.0,974477.0,260402
KNN,TVAE,0.1637,0.0268,0.1637,0.046,0.5,1.4787,0.0,0.0,0.2,,,,300.0,974477.0,260402
LogisticRegression,TVAE,0.5449,0.4992,0.5449,0.5011,0.6549,1.0776,0.1452,0.1521,0.2,,,,300.0,974477.0,260402
RandomForest,TVAE,0.5853,0.4901,0.5853,0.5012,0.6023,1.221,0.0979,0.1225,0.2,,,,300.0,974477.0,260402
DecisionTree,TVAE,0.4526,0.4675,0.4526,0.4589,0.52,19.7318,0.0642,0.0644,0.2,,,,500.0,974477.0,260402
KNN,TVAE,0.5888,0.3467,0.5888,0.4364,0.5,9.3154,0.0,0.0,0.2,,,,500.0,974477.0,260402
LogisticRegression,TVAE,0.5836,0.5208,0.5836,0.4902,0.6622,1.2026,0.0827,0.1096,0.2,,,,500.0,974477.0,260402
RandomForest,TVAE,0.592,0.5063,0.592,0.4907,0.6067,1.3188,0.0789,0.1154,0.2,,,,500.0,974477.0,260402
DecisionTree,TVAE,0.4208,0.4583,0.4208,0.4352,0.5145,20.8762,0.0466,0.0473,0.2,,,,300,10000,260402
KNN,TVAE,0.5888,0.3467,0.5888,0.4364,0.5,14.8203,0.0,0.0,0.2,,,,300,10000,260402
LogisticRegression,TVAE,0.513,0.4932,0.513,0.4985,0.6241,1.1542,0.1069,0.1083,0.2,,,,300,10000,260402
RandomForest,TVAE,0.5402,0.4892,0.5402,0.5074,0.5855,1.3149,0.1098,0.1136,0.2,,,,300,10000,260402
