Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,Anonymous,0.5172,0.4967,0.5172,0.5048,,,0.1178,0.1184,908,0.35,0.2,10.0,2.0,0.01,,,
KNN,CTGAN_HYBRID,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,908,0.35,0.2,10.0,2.0,0.01,300,8,260402
KNN,GaussianCopula_HYBRID,0.1637,0.0268,0.1637,0.046,,,0.0,0.0,908,0.35,0.2,10.0,2.0,0.01,300,8,260402
KNN,TVAE_HYBRID,0.5888,0.3467,0.5888,0.4364,0.5,14.8203,0.0,0.0,908,0.35,0.2,10.0,2.0,0.01,300,8,260402
KNN,Anonymous,0.5173,0.4967,0.5173,0.5048,,,0.1178,0.1184,1671,0.64,0.2,20.0,2.0,0.01,,,
KNN,CTGAN_HYBRID,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,1671,0.64,0.2,20.0,2.0,0.01,300,8,260402
KNN,GaussianCopula_HYBRID,0.2361,0.0558,0.2361,0.0902,,,0.0,0.0,1671,0.64,0.2,20.0,2.0,0.01,300,8,260402
KNN,TVAE_HYBRID,0.1637,0.0268,0.1637,0.046,0.5,1.4787,0.0,0.0,1671,0.64,0.2,20.0,2.0,0.01,300,8,260402
KNN,Anonymous,0.5176,0.4971,0.5176,0.5051,,,0.1183,0.119,1614,0.62,0.2,5.0,2.0,0.01,,,
KNN,CTGAN_HYBRID,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,1614,0.62,0.2,5.0,2.0,0.01,300,8,260402
KNN,GaussianCopula_HYBRID,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,1614,0.62,0.2,5.0,2.0,0.01,300,8,260402
KNN,TVAE_HYBRID,0.5888,0.3467,0.5888,0.4364,0.5,6.8261,0.0,0.0,1614,0.62,0.2,5.0,2.0,0.01,300,8,260402
