Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows,rows_generated_at_runtime
DecisionTree,Anonymous,0.5134,0.5214,0.5134,0.5172,,,0.1598,0.1599,0.2,10.0,2.0,0.3,,,
KNN,Anonymous,0.5175,0.497,0.5175,0.505,,,0.1181,0.1188,0.2,10.0,2.0,0.3,,,
LogisticRegression,Anonymous,0.602,0.5249,0.602,0.4843,,,0.0762,0.1342,0.2,10.0,2.0,0.3,,,
RandomForest,Anonymous,0.6073,0.5605,0.6073,0.5628,,,0.2083,0.2243,0.2,10.0,2.0,0.3,,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,10.0,2.0,0.3,,,
DecisionTree,Anonymous,0.5148,0.5233,0.5148,0.5187,,,0.1628,0.1629,0.2,20.0,2.0,0.3,,,
KNN,Anonymous,0.5173,0.4967,0.5173,0.5048,,,0.1178,0.1184,0.2,20.0,2.0,0.3,,,
LogisticRegression,Anonymous,0.6003,0.5236,0.6003,0.4777,,,0.0652,0.1242,0.2,20.0,2.0,0.3,,,
RandomForest,Anonymous,0.607,0.5606,0.607,0.5638,,,0.2096,0.2252,0.2,20.0,2.0,0.3,,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,20.0,2.0,0.3,,,
DecisionTree,Anonymous,0.5144,0.5232,0.5144,0.5185,,,0.1627,0.1628,0.2,5.0,2.0,0.3,,,
KNN,Anonymous,0.5176,0.4971,0.5176,0.5051,,,0.1183,0.119,0.2,5.0,2.0,0.3,,,
LogisticRegression,Anonymous,0.6034,0.5221,0.6034,0.4949,,,0.0946,0.1465,0.2,5.0,2.0,0.3,,,
RandomForest,Anonymous,0.61,0.565,0.61,0.5664,,,0.2144,0.2307,0.2,5.0,2.0,0.3,,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,5.0,2.0,0.3,,,
