Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,Anonymous,0.5189,0.5251,0.5189,0.5218,,,0.1666,0.1667,908,0.35,0.2,10.0,2.0,0.01,,,
DecisionTree,CTGAN_HYBRID,0.216,0.4496,0.216,0.2845,,,0.015,0.0176,908,0.35,0.2,10.0,2.0,0.01,300,8,260402
DecisionTree,GaussianCopula_HYBRID,0.333,0.4342,0.333,0.3577,,,0.0066,0.0072,908,0.35,0.2,10.0,2.0,0.01,300,8,260402
DecisionTree,TVAE_HYBRID,0.4635,0.4722,0.4635,0.4668,0.5219,19.3387,0.0703,0.0707,908,0.35,0.2,10.0,2.0,0.01,300,8,260402
DecisionTree,Anonymous,0.5164,0.5239,0.5164,0.5199,,,0.1642,0.1643,1671,0.64,0.2,20.0,2.0,0.01,,,
DecisionTree,CTGAN_HYBRID,0.3757,0.4382,0.3757,0.3967,,,0.0083,0.0086,1671,0.64,0.2,20.0,2.0,0.01,300,8,260402
DecisionTree,GaussianCopula_HYBRID,0.3807,0.4294,0.3807,0.399,,,-0.0003,-0.0003,1671,0.64,0.2,20.0,2.0,0.01,300,8,260402
DecisionTree,TVAE_HYBRID,0.4233,0.4634,0.4233,0.4385,0.5201,20.7871,0.0556,0.0566,1671,0.64,0.2,20.0,2.0,0.01,300,8,260402
DecisionTree,Anonymous,0.5158,0.523,0.5158,0.5193,,,0.1628,0.1629,1614,0.62,0.2,5.0,2.0,0.01,,,
DecisionTree,CTGAN_HYBRID,0.3033,0.4264,0.3033,0.3305,,,-0.0006,-0.0006,1614,0.62,0.2,5.0,2.0,0.01,300,8,260402
DecisionTree,GaussianCopula_HYBRID,0.3383,0.4512,0.3383,0.3667,,,0.0252,0.0274,1614,0.62,0.2,5.0,2.0,0.01,300,8,260402
DecisionTree,TVAE_HYBRID,0.3756,0.4539,0.3756,0.3997,0.514,22.5073,0.0317,0.0332,1614,0.62,0.2,5.0,2.0,0.01,300,8,260402
