Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
RandomForest,Anonymous,0.6082,0.5622,0.6082,0.564,,,0.2103,0.2264,2702,1.04,0.2,10.0,2.0,0.5,,,
RandomForest,CTGAN_HYBRID,0.4932,0.5016,0.4932,0.4969,,,0.1254,0.1256,2702,1.04,0.2,10.0,2.0,0.5,300,8,260402
RandomForest,GaussianCopula_HYBRID,0.5713,0.4373,0.5713,0.4517,,,0.0074,0.0129,2702,1.04,0.2,10.0,2.0,0.5,300,8,260402
RandomForest,TVAE_HYBRID,0.5788,0.5088,0.5788,0.5144,0.5865,1.305,0.1218,0.1402,2702,1.04,0.2,10.0,2.0,0.5,300,8,260402
RandomForest,Anonymous,0.6068,0.5609,0.6068,0.5647,,,0.2118,0.2266,1671,0.64,0.2,20.0,2.0,0.5,,,
RandomForest,CTGAN_HYBRID,0.581,0.4683,0.581,0.4678,,,0.0362,0.0591,1671,0.64,0.2,20.0,2.0,0.5,300,8,260402
RandomForest,GaussianCopula_HYBRID,0.5675,0.4505,0.5675,0.4627,,,0.0228,0.0337,1671,0.64,0.2,20.0,2.0,0.5,300,8,260402
RandomForest,TVAE_HYBRID,0.5656,0.4758,0.5656,0.4974,0.6035,1.143,0.0898,0.1026,1671,0.64,0.2,20.0,2.0,0.5,300,8,260402
RandomForest,Anonymous,0.6088,0.5628,0.6088,0.5649,,,0.2118,0.228,1614,0.62,0.2,5.0,2.0,0.5,,,
RandomForest,CTGAN_HYBRID,0.5838,0.4723,0.5838,0.481,,,0.0609,0.088,1614,0.62,0.2,5.0,2.0,0.5,300,8,260402
RandomForest,GaussianCopula_HYBRID,0.5554,0.4383,0.5554,0.4614,,,0.0155,0.0206,1614,0.62,0.2,5.0,2.0,0.5,300,8,260402
RandomForest,TVAE_HYBRID,0.5774,0.4911,0.5774,0.4985,0.6024,1.3613,0.0879,0.1077,1614,0.62,0.2,5.0,2.0,0.5,300,8,260402
