Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,Anonymous,0.5124,0.521,0.5124,0.5164,,,0.159,0.1591,2702,1.04,0.2,10.0,2.0,0.2,,,
DecisionTree,CTGAN_HYBRID,0.37,0.4408,0.37,0.3943,,,0.0197,0.0205,2702,1.04,0.2,10.0,2.0,0.2,300,8,260402
DecisionTree,GaussianCopula_HYBRID,0.3995,0.4403,0.3995,0.4162,,,0.0173,0.0175,2702,1.04,0.2,10.0,2.0,0.2,300,8,260402
DecisionTree,TVAE_HYBRID,0.4174,0.4588,0.4174,0.4329,0.5171,20.998,0.0464,0.0472,2702,1.04,0.2,10.0,2.0,0.2,300,8,260402
DecisionTree,Anonymous,0.5157,0.5235,0.5157,0.5194,,,0.1633,0.1634,1671,0.64,0.2,20.0,2.0,0.2,,,
DecisionTree,CTGAN_HYBRID,0.3726,0.4649,0.3726,0.3959,,,0.0516,0.055,1671,0.64,0.2,20.0,2.0,0.2,300,8,260402
DecisionTree,GaussianCopula_HYBRID,0.3773,0.4338,0.3773,0.3985,,,0.0057,0.0059,1671,0.64,0.2,20.0,2.0,0.2,300,8,260402
DecisionTree,TVAE_HYBRID,0.41,0.4764,0.41,0.4294,0.5217,21.266,0.0674,0.0703,1671,0.64,0.2,20.0,2.0,0.2,300,8,260402
DecisionTree,Anonymous,0.516,0.5245,0.516,0.52,,,0.165,0.1652,1614,0.62,0.2,5.0,2.0,0.2,,,
DecisionTree,CTGAN_HYBRID,0.3714,0.447,0.3714,0.3874,,,0.0264,0.0283,1614,0.62,0.2,5.0,2.0,0.2,300,8,260402
DecisionTree,GaussianCopula_HYBRID,0.3548,0.4581,0.3548,0.3825,,,0.0341,0.0365,1614,0.62,0.2,5.0,2.0,0.2,300,8,260402
DecisionTree,TVAE_HYBRID,0.4258,0.4871,0.4258,0.4452,0.5254,20.6946,0.0795,0.0828,1614,0.62,0.2,5.0,2.0,0.2,300,8,260402
