Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,Anonymous,0.602,0.5249,0.602,0.4843,,,0.0762,0.1342,2702,1.04,0.2,10.0,2.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.5844,0.4849,0.5844,0.4453,,,0.0114,0.0307,2702,1.04,0.2,10.0,2.0,0.5,300,8,260402
LogisticRegression,GaussianCopula_HYBRID,0.5862,0.3461,0.5862,0.4352,,,-0.0027,-0.0201,2702,1.04,0.2,10.0,2.0,0.5,300,8,260402
LogisticRegression,TVAE_HYBRID,0.5941,0.4941,0.5941,0.5143,0.6524,1.2266,0.1311,0.1573,2702,1.04,0.2,10.0,2.0,0.5,300,8,260402
LogisticRegression,Anonymous,0.6003,0.5236,0.6003,0.4777,,,0.0652,0.1242,1671,0.64,0.2,20.0,2.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.5911,0.4471,0.5911,0.4626,,,0.0356,0.0755,1671,0.64,0.2,20.0,2.0,0.5,300,8,260402
LogisticRegression,GaussianCopula_HYBRID,0.5862,0.3461,0.5862,0.4352,,,-0.0027,-0.02,1671,0.64,0.2,20.0,2.0,0.5,300,8,260402
LogisticRegression,TVAE_HYBRID,0.5924,0.4536,0.5924,0.4772,0.6532,1.1321,0.0603,0.1012,1671,0.64,0.2,20.0,2.0,0.5,300,8,260402
LogisticRegression,Anonymous,0.6034,0.5221,0.6034,0.4949,,,0.0946,0.1465,1614,0.62,0.2,5.0,2.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.5674,0.5107,0.5674,0.5173,,,0.1724,0.1813,1614,0.62,0.2,5.0,2.0,0.5,300,8,260402
LogisticRegression,GaussianCopula_HYBRID,0.5865,0.3462,0.5865,0.4354,,,-0.0023,-0.0187,1614,0.62,0.2,5.0,2.0,0.5,300,8,260402
LogisticRegression,TVAE_HYBRID,0.5835,0.3464,0.5835,0.4347,0.6429,1.3134,-0.0017,-0.0073,1614,0.62,0.2,5.0,2.0,0.5,300,8,260402
