Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,Anonymous,0.6003,0.5236,0.6003,0.4777,,,0.0652,0.1242,1671,0.64,0.2,20.0,2.0,0.01,,,
LogisticRegression,CTGAN_HYBRID,0.5788,0.4637,0.5788,0.5114,,,0.134,0.1495,1671,0.64,0.2,20.0,2.0,0.01,300,8,260402
LogisticRegression,GaussianCopula_HYBRID,0.5862,0.3461,0.5862,0.4352,,,-0.0027,-0.02,1671,0.64,0.2,20.0,2.0,0.01,300,8,260402
LogisticRegression,TVAE_HYBRID,0.5766,0.4601,0.5766,0.5082,0.6515,1.1905,0.1255,0.1406,1671,0.64,0.2,20.0,2.0,0.01,300,8,260402
LogisticRegression,Anonymous,0.6003,0.5236,0.6003,0.4777,,,0.0652,0.1242,1671,0.64,0.2,20.0,2.0,0.1,,,
LogisticRegression,CTGAN_HYBRID,0.5864,0.4781,0.5864,0.4567,,,0.0248,0.0536,1671,0.64,0.2,20.0,2.0,0.1,300,8,260402
LogisticRegression,GaussianCopula_HYBRID,0.5862,0.3461,0.5862,0.4352,,,-0.0027,-0.02,1671,0.64,0.2,20.0,2.0,0.1,300,8,260402
LogisticRegression,TVAE_HYBRID,0.5883,0.4839,0.5883,0.4609,0.6334,1.1058,0.034,0.0695,1671,0.64,0.2,20.0,2.0,0.1,300,8,260402
LogisticRegression,Anonymous,0.6003,0.5236,0.6003,0.4777,,,0.0652,0.1242,1671,0.64,0.2,20.0,2.0,0.2,,,
LogisticRegression,CTGAN_HYBRID,0.587,0.5153,0.587,0.44,,,0.0042,0.0183,1671,0.64,0.2,20.0,2.0,0.2,300,8,260402
LogisticRegression,GaussianCopula_HYBRID,0.5862,0.3461,0.5862,0.4352,,,-0.0027,-0.02,1671,0.64,0.2,20.0,2.0,0.2,300,8,260402
LogisticRegression,TVAE_HYBRID,0.5905,0.4573,0.5905,0.4934,0.6463,1.1798,0.0868,0.1193,1671,0.64,0.2,20.0,2.0,0.2,300,8,260402
LogisticRegression,Anonymous,0.6003,0.5236,0.6003,0.4777,,,0.0652,0.1242,1671,0.64,0.2,20.0,2.0,0.3,,,
LogisticRegression,CTGAN_HYBRID,0.3002,0.4988,0.3002,0.3671,,,0.0527,0.0654,1671,0.64,0.2,20.0,2.0,0.3,300,8,260402
LogisticRegression,GaussianCopula_HYBRID,0.5862,0.3461,0.5862,0.4352,,,-0.0027,-0.02,1671,0.64,0.2,20.0,2.0,0.3,300,8,260402
LogisticRegression,TVAE_HYBRID,0.5827,0.5644,0.5827,0.5015,0.6364,1.2273,0.1078,0.1325,1671,0.64,0.2,20.0,2.0,0.3,300,8,260402
LogisticRegression,Anonymous,0.6003,0.5236,0.6003,0.4777,,,0.0652,0.1242,1671,0.64,0.2,20.0,2.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.5911,0.4471,0.5911,0.4626,,,0.0356,0.0755,1671,0.64,0.2,20.0,2.0,0.5,300,8,260402
LogisticRegression,GaussianCopula_HYBRID,0.5862,0.3461,0.5862,0.4352,,,-0.0027,-0.02,1671,0.64,0.2,20.0,2.0,0.5,300,8,260402
LogisticRegression,TVAE_HYBRID,0.5924,0.4536,0.5924,0.4772,0.6532,1.1321,0.0603,0.1012,1671,0.64,0.2,20.0,2.0,0.5,300,8,260402
