Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
RandomForest,Anonymous,0.6087,0.5645,0.6087,0.5652,,,0.212,0.2281,1614,0.62,0.2,5.0,2.0,0.01,,,
RandomForest,CTGAN_HYBRID,0.5613,0.4725,0.5613,0.4915,,,0.0728,0.085,1614,0.62,0.2,5.0,2.0,0.01,300,8,260402
RandomForest,GaussianCopula_HYBRID,0.5506,0.4446,0.5506,0.4666,,,0.024,0.0299,1614,0.62,0.2,5.0,2.0,0.01,300,8,260402
RandomForest,TVAE_HYBRID,0.562,0.4802,0.562,0.4955,0.5991,1.2475,0.079,0.0912,1614,0.62,0.2,5.0,2.0,0.01,300,8,260402
RandomForest,Anonymous,0.6084,0.5628,0.6084,0.5643,,,0.2108,0.227,1614,0.62,0.2,5.0,2.0,0.1,,,
RandomForest,CTGAN_HYBRID,0.5173,0.4707,0.5173,0.4796,,,0.1033,0.1077,1614,0.62,0.2,5.0,2.0,0.1,300,8,260402
RandomForest,GaussianCopula_HYBRID,0.5529,0.4351,0.5529,0.4605,,,0.0137,0.018,1614,0.62,0.2,5.0,2.0,0.1,300,8,260402
RandomForest,TVAE_HYBRID,0.5797,0.4821,0.5797,0.485,0.6095,1.1947,0.064,0.0872,1614,0.62,0.2,5.0,2.0,0.1,300,8,260402
RandomForest,Anonymous,0.6083,0.5624,0.6083,0.5646,,,0.2113,0.2273,1614,0.62,0.2,5.0,2.0,0.2,,,
RandomForest,CTGAN_HYBRID,0.4975,0.4821,0.4975,0.4675,,,0.1164,0.1244,1614,0.62,0.2,5.0,2.0,0.2,300,8,260402
RandomForest,GaussianCopula_HYBRID,0.546,0.4335,0.546,0.4582,,,0.0078,0.0099,1614,0.62,0.2,5.0,2.0,0.2,300,8,260402
RandomForest,TVAE_HYBRID,0.5809,0.5078,0.5809,0.5188,0.6022,1.768,0.1254,0.1429,1614,0.62,0.2,5.0,2.0,0.2,300,8,260402
RandomForest,Anonymous,0.61,0.565,0.61,0.5664,,,0.2144,0.2307,1614,0.62,0.2,5.0,2.0,0.3,,,
RandomForest,CTGAN_HYBRID,0.5235,0.4976,0.5235,0.5046,,,0.1335,0.1356,1614,0.62,0.2,5.0,2.0,0.3,300,8,260402
RandomForest,GaussianCopula_HYBRID,0.5562,0.4575,0.5562,0.4765,,,0.0439,0.0535,1614,0.62,0.2,5.0,2.0,0.3,300,8,260402
RandomForest,TVAE_HYBRID,0.5554,0.4994,0.5554,0.5017,0.5986,1.2943,0.109,0.1172,1614,0.62,0.2,5.0,2.0,0.3,300,8,260402
RandomForest,Anonymous,0.6088,0.5628,0.6088,0.5649,,,0.2118,0.228,1614,0.62,0.2,5.0,2.0,0.5,,,
RandomForest,CTGAN_HYBRID,0.5838,0.4723,0.5838,0.481,,,0.0609,0.088,1614,0.62,0.2,5.0,2.0,0.5,300,8,260402
RandomForest,GaussianCopula_HYBRID,0.5554,0.4383,0.5554,0.4614,,,0.0155,0.0206,1614,0.62,0.2,5.0,2.0,0.5,300,8,260402
RandomForest,TVAE_HYBRID,0.5774,0.4911,0.5774,0.4985,0.6024,1.3613,0.0879,0.1077,1614,0.62,0.2,5.0,2.0,0.5,300,8,260402
