Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,Anonymous,0.5172,0.4967,0.5172,0.5048,,,0.1178,0.1184,908,0.35,0.2,10.0,2.0,0.01,,,
KNN,CTGAN_HYBRID,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,908,0.35,0.2,10.0,2.0,0.01,300,8,260402
KNN,GaussianCopula_HYBRID,0.1637,0.0268,0.1637,0.046,,,0.0,0.0,908,0.35,0.2,10.0,2.0,0.01,300,8,260402
KNN,TVAE_HYBRID,0.5888,0.3467,0.5888,0.4364,0.5,14.8203,0.0,0.0,908,0.35,0.2,10.0,2.0,0.01,300,8,260402
KNN,Anonymous,0.5175,0.497,0.5175,0.505,,,0.1181,0.1188,2702,1.04,0.2,10.0,2.0,0.1,,,
KNN,CTGAN_HYBRID,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,2702,1.04,0.2,10.0,2.0,0.1,300,8,260402
KNN,GaussianCopula_HYBRID,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,2702,1.04,0.2,10.0,2.0,0.1,300,8,260402
KNN,TVAE_HYBRID,0.5888,0.3467,0.5888,0.4364,0.5,9.3154,0.0,0.0,2702,1.04,0.2,10.0,2.0,0.1,300,8,260402
KNN,Anonymous,0.5175,0.497,0.5175,0.505,,,0.1181,0.1188,2702,1.04,0.2,10.0,2.0,0.2,,,
KNN,CTGAN_HYBRID,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,2702,1.04,0.2,10.0,2.0,0.2,300,8,260402
KNN,GaussianCopula_HYBRID,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,2702,1.04,0.2,10.0,2.0,0.2,300,8,260402
KNN,TVAE_HYBRID,0.5888,0.3467,0.5888,0.4364,0.5,9.3154,0.0,0.0,2702,1.04,0.2,10.0,2.0,0.2,300,8,260402
KNN,Anonymous,0.5175,0.497,0.5175,0.505,,,0.1181,0.1188,2702,1.04,0.2,10.0,2.0,0.3,,,
KNN,CTGAN_HYBRID,0.1637,0.0268,0.1637,0.046,,,0.0,0.0,2702,1.04,0.2,10.0,2.0,0.3,300,8,260402
KNN,GaussianCopula_HYBRID,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,2702,1.04,0.2,10.0,2.0,0.3,300,8,260402
KNN,TVAE_HYBRID,0.5888,0.3467,0.5888,0.4364,0.5,1.3534,0.0,0.0,2702,1.04,0.2,10.0,2.0,0.3,300,8,260402
KNN,Anonymous,0.5175,0.497,0.5175,0.505,,,0.1181,0.1188,2702,1.04,0.2,10.0,2.0,0.5,,,
KNN,CTGAN_HYBRID,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,2702,1.04,0.2,10.0,2.0,0.5,300,8,260402
KNN,GaussianCopula_HYBRID,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,2702,1.04,0.2,10.0,2.0,0.5,300,8,260402
KNN,TVAE_HYBRID,0.5888,0.3467,0.5888,0.4364,0.5,9.3154,0.0,0.0,2702,1.04,0.2,10.0,2.0,0.5,300,8,260402
KNN,CTGAN_HYBRID,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,,,0.2,10,2,0.1,100.0,8.0,260402
KNN,TVAE_HYBRID,0.1637,0.0268,0.1637,0.046,,,0.0,0.0,,,0.2,10,2,0.1,100.0,8.0,260402
KNN,CTGAN_HYBRID,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,,,0.2,10,2,0.1,1000.0,8.0,260402
KNN,TVAE_HYBRID,0.5888,0.3467,0.5888,0.4364,0.5,6.8204,0.0,0.0,,,0.2,10,2,0.1,1000.0,8.0,260402
KNN,CTGAN_HYBRID,0.2361,0.0558,0.2361,0.0902,,,0.0,0.0,,,0.2,10,2,0.1,300.0,8.0,260402
KNN,GaussianCopula_HYBRID,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,,,0.2,10,2,0.1,300.0,8.0,260402
KNN,TVAE_HYBRID,0.5888,0.3467,0.5888,0.4364,0.5,9.3154,0.0,0.0,,,0.2,10,2,0.1,300.0,8.0,260402
KNN,CTGAN_HYBRID,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,,,0.2,10,2,0.1,500.0,8.0,260402
KNN,TVAE_HYBRID,0.1637,0.0268,0.1637,0.046,0.5,1.4787,0.0,0.0,,,0.2,10,2,0.1,500.0,8.0,260402
KNN,Anonymous,0.5175,0.497,0.5175,0.505,,,0.1181,0.1188,2702,1.04,0.2,10.0,2.0,0.1,,,
KNN,CTGAN_HYBRID,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,2702,1.04,0.2,10.0,2.0,0.1,300,8,260402
KNN,GaussianCopula_HYBRID,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,2702,1.04,0.2,10.0,2.0,0.1,300,8,260402
KNN,TVAE_HYBRID,0.1637,0.0268,0.1637,0.046,0.5,9.5437,0.0,0.0,2702,1.04,0.2,10.0,2.0,0.1,300,8,260402
