Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows,rows_generated_at_runtime
DecisionTree,Anonymous,0.5164,0.5239,0.5164,0.5199,,,0.1642,0.1643,0.2,20.0,2.0,0.01,,,
KNN,Anonymous,0.5173,0.4967,0.5173,0.5048,,,0.1178,0.1184,0.2,20.0,2.0,0.01,,,
LogisticRegression,Anonymous,0.6003,0.5236,0.6003,0.4777,,,0.0652,0.1242,0.2,20.0,2.0,0.01,,,
RandomForest,Anonymous,0.6077,0.5613,0.6077,0.5647,,,0.2116,0.2271,0.2,20.0,2.0,0.01,,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,20.0,2.0,0.01,,,
DecisionTree,Anonymous,0.5154,0.523,0.5154,0.5189,,,0.1625,0.1626,0.2,20.0,2.0,0.1,,,
KNN,Anonymous,0.5173,0.4967,0.5173,0.5048,,,0.1178,0.1184,0.2,20.0,2.0,0.1,,,
LogisticRegression,Anonymous,0.6003,0.5236,0.6003,0.4777,,,0.0652,0.1242,0.2,20.0,2.0,0.1,,,
RandomForest,Anonymous,0.6073,0.5612,0.6073,0.5646,,,0.2117,0.2269,0.2,20.0,2.0,0.1,,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,20.0,2.0,0.1,,,
DecisionTree,Anonymous,0.5157,0.5235,0.5157,0.5194,,,0.1633,0.1634,0.2,20.0,2.0,0.2,,,
KNN,Anonymous,0.5173,0.4967,0.5173,0.5048,,,0.1178,0.1184,0.2,20.0,2.0,0.2,,,
LogisticRegression,Anonymous,0.6003,0.5236,0.6003,0.4777,,,0.0652,0.1242,0.2,20.0,2.0,0.2,,,
RandomForest,Anonymous,0.6066,0.5601,0.6066,0.5629,,,0.2081,0.2237,0.2,20.0,2.0,0.2,,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,20.0,2.0,0.2,,,
DecisionTree,Anonymous,0.5148,0.5233,0.5148,0.5187,,,0.1628,0.1629,0.2,20.0,2.0,0.3,,,
KNN,Anonymous,0.5173,0.4967,0.5173,0.5048,,,0.1178,0.1184,0.2,20.0,2.0,0.3,,,
LogisticRegression,Anonymous,0.6003,0.5236,0.6003,0.4777,,,0.0652,0.1242,0.2,20.0,2.0,0.3,,,
RandomForest,Anonymous,0.607,0.5606,0.607,0.5638,,,0.2096,0.2252,0.2,20.0,2.0,0.3,,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,20.0,2.0,0.3,,,
DecisionTree,Anonymous,0.516,0.5231,0.516,0.5194,,,0.1629,0.163,0.2,20.0,2.0,0.5,,,
KNN,Anonymous,0.5173,0.4967,0.5173,0.5048,,,0.1178,0.1184,0.2,20.0,2.0,0.5,,,
LogisticRegression,Anonymous,0.6003,0.5236,0.6003,0.4777,,,0.0652,0.1242,0.2,20.0,2.0,0.5,,,
RandomForest,Anonymous,0.6068,0.5609,0.6068,0.5647,,,0.2118,0.2266,0.2,20.0,2.0,0.5,,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,20.0,2.0,0.5,,,
