Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,Anonymous,0.5158,0.523,0.5158,0.5193,,,0.1628,0.1629,1614,0.62,0.2,5.0,2.0,0.01,,,
DecisionTree,CTGAN_HYBRID,0.3033,0.4264,0.3033,0.3305,,,-0.0006,-0.0006,1614,0.62,0.2,5.0,2.0,0.01,300,8,260402
DecisionTree,GaussianCopula_HYBRID,0.3383,0.4512,0.3383,0.3667,,,0.0252,0.0274,1614,0.62,0.2,5.0,2.0,0.01,300,8,260402
DecisionTree,TVAE_HYBRID,0.3756,0.4539,0.3756,0.3997,0.514,22.5073,0.0317,0.0332,1614,0.62,0.2,5.0,2.0,0.01,300,8,260402
DecisionTree,Anonymous,0.5159,0.5233,0.5159,0.5194,,,0.1631,0.1632,1614,0.62,0.2,5.0,2.0,0.1,,,
DecisionTree,CTGAN_HYBRID,0.3239,0.4236,0.3239,0.3576,,,-0.0021,-0.0023,1614,0.62,0.2,5.0,2.0,0.1,300,8,260402
DecisionTree,GaussianCopula_HYBRID,0.3526,0.4561,0.3526,0.3811,,,0.0307,0.0329,1614,0.62,0.2,5.0,2.0,0.1,300,8,260402
DecisionTree,TVAE_HYBRID,0.3908,0.4613,0.3908,0.4115,0.5201,21.9569,0.0489,0.051,1614,0.62,0.2,5.0,2.0,0.1,300,8,260402
DecisionTree,Anonymous,0.516,0.5245,0.516,0.52,,,0.165,0.1652,1614,0.62,0.2,5.0,2.0,0.2,,,
DecisionTree,CTGAN_HYBRID,0.3714,0.447,0.3714,0.3874,,,0.0264,0.0283,1614,0.62,0.2,5.0,2.0,0.2,300,8,260402
DecisionTree,GaussianCopula_HYBRID,0.3548,0.4581,0.3548,0.3825,,,0.0341,0.0365,1614,0.62,0.2,5.0,2.0,0.2,300,8,260402
DecisionTree,TVAE_HYBRID,0.4258,0.4871,0.4258,0.4452,0.5254,20.6946,0.0795,0.0828,1614,0.62,0.2,5.0,2.0,0.2,300,8,260402
DecisionTree,Anonymous,0.5144,0.5232,0.5144,0.5185,,,0.1627,0.1628,1614,0.62,0.2,5.0,2.0,0.3,,,
DecisionTree,CTGAN_HYBRID,0.3074,0.4415,0.3074,0.3412,,,0.0141,0.0154,1614,0.62,0.2,5.0,2.0,0.3,300,8,260402
DecisionTree,GaussianCopula_HYBRID,0.3607,0.4533,0.3607,0.3857,,,0.0307,0.0328,1614,0.62,0.2,5.0,2.0,0.3,300,8,260402
DecisionTree,TVAE_HYBRID,0.4142,0.4397,0.4142,0.4247,0.514,21.1137,0.0186,0.0187,1614,0.62,0.2,5.0,2.0,0.3,300,8,260402
DecisionTree,Anonymous,0.5161,0.523,0.5161,0.5194,,,0.1627,0.1628,1614,0.62,0.2,5.0,2.0,0.5,,,
DecisionTree,CTGAN_HYBRID,0.3777,0.4457,0.3777,0.4006,,,0.0229,0.0237,1614,0.62,0.2,5.0,2.0,0.5,300,8,260402
DecisionTree,GaussianCopula_HYBRID,0.3487,0.4507,0.3487,0.3761,,,0.0235,0.0252,1614,0.62,0.2,5.0,2.0,0.5,300,8,260402
DecisionTree,TVAE_HYBRID,0.4339,0.462,0.4339,0.4452,0.5174,20.4045,0.056,0.0565,1614,0.62,0.2,5.0,2.0,0.5,300,8,260402
