Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows,rows_generated_at_runtime
DecisionTree,Anonymous,0.5158,0.523,0.5158,0.5193,,,0.1628,0.1629,0.2,5.0,2.0,0.01,,,
KNN,Anonymous,0.5176,0.4971,0.5176,0.5051,,,0.1183,0.119,0.2,5.0,2.0,0.01,,,
LogisticRegression,Anonymous,0.6034,0.5221,0.6034,0.4949,,,0.0946,0.1465,0.2,5.0,2.0,0.01,,,
RandomForest,Anonymous,0.6087,0.5645,0.6087,0.5652,,,0.212,0.2281,0.2,5.0,2.0,0.01,,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,5.0,2.0,0.01,,,
DecisionTree,Anonymous,0.5159,0.5233,0.5159,0.5194,,,0.1631,0.1632,0.2,5.0,2.0,0.1,,,
KNN,Anonymous,0.5176,0.4971,0.5176,0.5051,,,0.1183,0.119,0.2,5.0,2.0,0.1,,,
LogisticRegression,Anonymous,0.6034,0.5221,0.6034,0.4949,,,0.0946,0.1465,0.2,5.0,2.0,0.1,,,
RandomForest,Anonymous,0.6084,0.5628,0.6084,0.5643,,,0.2108,0.227,0.2,5.0,2.0,0.1,,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,5.0,2.0,0.1,,,
DecisionTree,Anonymous,0.516,0.5245,0.516,0.52,,,0.165,0.1652,0.2,5.0,2.0,0.2,,,
KNN,Anonymous,0.5176,0.4971,0.5176,0.5051,,,0.1183,0.119,0.2,5.0,2.0,0.2,,,
LogisticRegression,Anonymous,0.6034,0.5221,0.6034,0.4949,,,0.0946,0.1465,0.2,5.0,2.0,0.2,,,
RandomForest,Anonymous,0.6083,0.5624,0.6083,0.5646,,,0.2113,0.2273,0.2,5.0,2.0,0.2,,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,5.0,2.0,0.2,,,
DecisionTree,Anonymous,0.5144,0.5232,0.5144,0.5185,,,0.1627,0.1628,0.2,5.0,2.0,0.3,,,
KNN,Anonymous,0.5176,0.4971,0.5176,0.5051,,,0.1183,0.119,0.2,5.0,2.0,0.3,,,
LogisticRegression,Anonymous,0.6034,0.5221,0.6034,0.4949,,,0.0946,0.1465,0.2,5.0,2.0,0.3,,,
RandomForest,Anonymous,0.61,0.565,0.61,0.5664,,,0.2144,0.2307,0.2,5.0,2.0,0.3,,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,5.0,2.0,0.3,,,
DecisionTree,Anonymous,0.5161,0.523,0.5161,0.5194,,,0.1627,0.1628,0.2,5.0,2.0,0.5,,,
KNN,Anonymous,0.5176,0.4971,0.5176,0.5051,,,0.1183,0.119,0.2,5.0,2.0,0.5,,,
LogisticRegression,Anonymous,0.6034,0.5221,0.6034,0.4949,,,0.0946,0.1465,0.2,5.0,2.0,0.5,,,
RandomForest,Anonymous,0.6088,0.5628,0.6088,0.5649,,,0.2118,0.228,0.2,5.0,2.0,0.5,,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,5.0,2.0,0.5,,,
