Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.5134,0.5214,0.5134,0.5172,,,0.1598,0.1599
DecisionTree,CTGAN_HYBRID,0.3182,0.4274,0.3182,0.3406,,,0.0097,0.0106
DecisionTree,GaussianCopula_HYBRID,0.3974,0.4385,0.3974,0.4136,,,0.0139,0.0141
DecisionTree,Original,0.5411,0.547,0.5411,0.5439,,,0.2047,0.2047
DecisionTree,TVAE_HYBRID,0.3826,0.4453,0.3826,0.4041,0.5062,22.2526,0.0209,0.0217
KNN,Anonymous,0.5175,0.497,0.5175,0.505,,,0.1181,0.1188
KNN,CTGAN_HYBRID,0.1637,0.0268,0.1637,0.046,,,0.0,0.0
KNN,GaussianCopula_HYBRID,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0
KNN,Original,0.5173,0.497,0.5173,0.505,,,0.1183,0.1189
KNN,TVAE_HYBRID,0.5888,0.3467,0.5888,0.4364,0.5,1.3534,0.0,0.0
LogisticRegression,Anonymous,0.602,0.5249,0.602,0.4843,,,0.0762,0.1342
LogisticRegression,CTGAN_HYBRID,0.5739,0.5131,0.5739,0.5233,,,0.1587,0.1684
LogisticRegression,GaussianCopula_HYBRID,0.5862,0.3461,0.5862,0.4352,,,-0.0027,-0.0201
LogisticRegression,Original,0.6063,0.5225,0.6063,0.5173,,,0.1355,0.1746
LogisticRegression,TVAE_HYBRID,0.5849,0.3736,0.5849,0.4355,0.6508,1.1368,-0.0031,-0.0165
RandomForest,Anonymous,0.6073,0.5605,0.6073,0.5628,,,0.2083,0.2243
RandomForest,CTGAN_HYBRID,0.5731,0.476,0.5731,0.4657,,,0.0306,0.0475
RandomForest,GaussianCopula_HYBRID,0.5738,0.4417,0.5738,0.455,,,0.0131,0.0228
RandomForest,Original,0.6492,0.6249,0.6492,0.6021,,,0.2857,0.3115
RandomForest,TVAE_HYBRID,0.5748,0.4778,0.5748,0.4816,0.5942,1.2441,0.0563,0.0763
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0
SVM,CTGAN_HYBRID,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0
SVM,GaussianCopula_HYBRID,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0
SVM,Original,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0
SVM,TVAE_HYBRID,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0
