Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.5154,0.523,0.5154,0.5189,N/A,N/A,0.1625,0.1626
DecisionTree,CTGAN_HYBRID,0.3181,0.442,0.3181,0.3516,N/A,N/A,0.0153,0.0166
DecisionTree,GaussianCopula_HYBRID,0.3716,0.4303,0.3716,0.3942,N/A,N/A,-0.0005,-0.0005
DecisionTree,Original,0.5379,0.5446,0.5379,0.5411,N/A,N/A,0.2003,0.2003
DecisionTree,TVAE_HYBRID,0.3997,0.4452,0.3997,0.4158,0.5111,21.6364,0.029,0.0297
KNN,Anonymous,0.5173,0.4967,0.5173,0.5048,N/A,N/A,0.1178,0.1184
KNN,CTGAN_HYBRID,0.2361,0.0558,0.2361,0.0902,N/A,N/A,0.0,0.0
KNN,GaussianCopula_HYBRID,0.2361,0.0558,0.2361,0.0902,N/A,N/A,0.0,0.0
KNN,Original,0.5173,0.497,0.5173,0.505,N/A,N/A,0.1183,0.1189
KNN,TVAE_HYBRID,0.1637,0.0268,0.1637,0.046,0.5,1.4787,0.0,0.0
LogisticRegression,Anonymous,0.6003,0.5236,0.6003,0.4777,N/A,N/A,0.0652,0.1242
LogisticRegression,CTGAN_HYBRID,0.5864,0.4781,0.5864,0.4567,N/A,N/A,0.0248,0.0536
LogisticRegression,GaussianCopula_HYBRID,0.5862,0.3461,0.5862,0.4352,N/A,N/A,-0.0027,-0.02
LogisticRegression,Original,0.6063,0.5225,0.6063,0.5173,N/A,N/A,0.1355,0.1746
LogisticRegression,TVAE_HYBRID,0.5883,0.4839,0.5883,0.4609,0.6334,1.1058,0.034,0.0695
RandomForest,Anonymous,0.6073,0.5612,0.6073,0.5646,N/A,N/A,0.2117,0.2269
RandomForest,CTGAN_HYBRID,0.4866,0.4942,0.4866,0.4866,N/A,N/A,0.1209,0.1223
RandomForest,GaussianCopula_HYBRID,0.5687,0.4605,0.5687,0.4718,N/A,N/A,0.0397,0.0548
RandomForest,Original,0.6506,0.6284,0.6506,0.604,N/A,N/A,0.289,0.3149
RandomForest,TVAE_HYBRID,0.563,0.4917,0.563,0.501,0.5999,1.2579,0.0894,0.1023
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,N/A,N/A,0.0,0.0
SVM,CTGAN_HYBRID,0.5888,0.3467,0.5888,0.4364,N/A,N/A,0.0,0.0
SVM,GaussianCopula_HYBRID,0.5888,0.3467,0.5888,0.4364,N/A,N/A,0.0,0.0
SVM,Original,0.5888,0.3467,0.5888,0.4364,N/A,N/A,0.0,0.0
SVM,TVAE_HYBRID,0.5888,0.3467,0.5888,0.4364,N/A,N/A,0.0,0.0
