Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,CTGAN,0.4161,0.4407,0.4161,0.427,,,0.0178,0.0179
DecisionTree,CTGAN_HYBRID,0.2556,0.4609,0.2556,0.314,,,0.024,0.0278
DecisionTree,Original,0.5399,0.5463,0.5399,0.543,,,0.2032,0.2033
DecisionTree,TVAE,0.4019,0.4464,0.4019,0.4172,0.5091,21.5567,0.0259,0.0265
DecisionTree,TVAE_HYBRID,0.4091,0.4468,0.4091,0.4234,,,0.03,0.0304
KNN,CTGAN,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0
KNN,CTGAN_HYBRID,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0
KNN,Original,0.5173,0.497,0.5173,0.505,,,0.1183,0.1189
KNN,TVAE,0.5888,0.3467,0.5888,0.4364,0.5,1.3534,0.0,0.0
KNN,TVAE_HYBRID,0.1637,0.0268,0.1637,0.046,,,0.0,0.0
LogisticRegression,CTGAN,0.5861,0.3461,0.5861,0.4352,,,-0.0027,-0.0198
LogisticRegression,CTGAN_HYBRID,0.5406,0.5256,0.5406,0.5327,,,0.1768,0.1771
LogisticRegression,Original,0.6063,0.5225,0.6063,0.5173,,,0.1355,0.1746
LogisticRegression,TVAE,0.5698,0.4918,0.5698,0.4927,0.6585,1.0818,0.0785,0.0962
LogisticRegression,TVAE_HYBRID,0.5904,0.4572,0.5904,0.4719,,,0.0488,0.0865
RandomForest,CTGAN,0.589,0.5677,0.589,0.4378,,,0.0018,0.0181
RandomForest,CTGAN_HYBRID,0.4776,0.5033,0.4776,0.4877,,,0.1164,0.1183
RandomForest,Original,0.651,0.6281,0.651,0.6045,,,0.2901,0.3159
RandomForest,TVAE,0.5807,0.4943,0.5807,0.5084,0.5869,1.2817,0.109,0.1285
RandomForest,TVAE_HYBRID,0.5687,0.5007,0.5687,0.5163,,,0.1206,0.1318
SVM,CTGAN,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0
SVM,CTGAN_HYBRID,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0
SVM,Original,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0
SVM,TVAE,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0
SVM,TVAE_HYBRID,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0
