Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,CTGAN,0.3963,0.4368,0.3963,0.4128,N/A,N/A,0.0126,0.0127
DecisionTree,CTGAN_HYBRID,0.2749,0.4264,0.2749,0.3242,N/A,N/A,0.0028,0.003
DecisionTree,GaussianCopula,0.3913,0.4266,0.3913,0.4062,N/A,N/A,-0.0051,-0.0051
DecisionTree,GaussianCopula_HYBRID,0.3942,0.4331,0.3942,0.4102,N/A,N/A,0.006,0.0061
DecisionTree,Original,0.5405,0.5467,0.5405,0.5435,N/A,N/A,0.204,0.2041
DecisionTree,TVAE,0.388,0.4415,0.388,0.4072,0.5095,22.0572,0.0185,0.0189
DecisionTree,TVAE_HYBRID,0.457,0.4782,0.457,0.4647,0.5247,19.5712,0.0862,0.0869
KNN,CTGAN,0.5888,0.3467,0.5888,0.4364,N/A,N/A,0.0,0.0
KNN,CTGAN_HYBRID,0.2361,0.0558,0.2361,0.0902,N/A,N/A,0.0,0.0
KNN,GaussianCopula,0.5888,0.3467,0.5888,0.4364,N/A,N/A,0.0,0.0
KNN,GaussianCopula_HYBRID,0.5888,0.3467,0.5888,0.4364,N/A,N/A,0.0,0.0
KNN,Original,0.5173,0.497,0.5173,0.505,N/A,N/A,0.1183,0.1189
KNN,TVAE,0.1637,0.0268,0.1637,0.046,0.5,1.4787,0.0,0.0
KNN,TVAE_HYBRID,0.5888,0.3467,0.5888,0.4364,0.5,9.3154,0.0,0.0
LogisticRegression,CTGAN,0.5754,0.4742,0.5754,0.4827,N/A,N/A,0.0634,0.0836
LogisticRegression,CTGAN_HYBRID,0.3383,0.4967,0.3383,0.3692,N/A,N/A,0.0237,0.0273
LogisticRegression,GaussianCopula,0.5888,0.3467,0.5888,0.4364,N/A,N/A,0.0,0.0
LogisticRegression,GaussianCopula_HYBRID,0.5862,0.3461,0.5862,0.4352,N/A,N/A,-0.0027,-0.0201
LogisticRegression,Original,0.6063,0.5225,0.6063,0.5173,N/A,N/A,0.1355,0.1746
LogisticRegression,TVAE,0.5449,0.4992,0.5449,0.5011,0.6549,1.0776,0.1452,0.1521
LogisticRegression,TVAE_HYBRID,0.5934,0.5125,0.5934,0.4865,0.6169,1.0915,0.075,0.1139
RandomForest,CTGAN,0.5702,0.4831,0.5702,0.4789,N/A,N/A,0.0537,0.0698
RandomForest,CTGAN_HYBRID,0.5371,0.4784,0.5371,0.4801,N/A,N/A,0.0639,0.0717
RandomForest,GaussianCopula,0.5869,0.4478,0.5869,0.441,N/A,N/A,0.0039,0.0154
RandomForest,GaussianCopula_HYBRID,0.5642,0.4346,0.5642,0.4538,N/A,N/A,0.005,0.0078
RandomForest,Original,0.6493,0.6253,0.6493,0.6029,N/A,N/A,0.2869,0.3122
RandomForest,TVAE,0.5853,0.4901,0.5853,0.5012,0.6023,1.221,0.0979,0.1225
RandomForest,TVAE_HYBRID,0.5728,0.4897,0.5728,0.5035,0.6079,1.2669,0.0971,0.1129
SVM,CTGAN,0.5888,0.3467,0.5888,0.4364,N/A,N/A,0.0,0.0
SVM,CTGAN_HYBRID,0.5888,0.3467,0.5888,0.4364,N/A,N/A,0.0,0.0
SVM,GaussianCopula,0.5888,0.3467,0.5888,0.4364,N/A,N/A,0.0,0.0
SVM,GaussianCopula_HYBRID,0.5888,0.3467,0.5888,0.4364,N/A,N/A,0.0,0.0
SVM,Original,0.5888,0.3467,0.5888,0.4364,N/A,N/A,0.0,0.0
SVM,TVAE,0.5888,0.3467,0.5888,0.4364,N/A,N/A,0.0,0.0
SVM,TVAE_HYBRID,0.5888,0.3467,0.5888,0.4364,N/A,N/A,0.0,0.0
