Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,epochs
DecisionTree,CTGAN,0.5167,0.571,0.5167,0.5342,,,-0.0052,-0.0054,1
DecisionTree,Original,0.7042,0.7228,0.7042,0.7108,,,0.3433,0.3467,1
DecisionTree,TVAE,0.6833,0.5816,0.6833,0.5757,,,0.0039,0.0087,1
KNN,CTGAN,0.7042,0.6855,0.7042,0.6181,,,0.0923,0.1557,1
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,1
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1
LogisticRegression,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,1
LogisticRegression,TVAE,0.6875,0.4775,0.6875,0.5636,,,-0.0083,-0.0432,1
RandomForest,CTGAN,0.6958,0.6871,0.6958,0.5824,,,0.0286,0.0873,1
RandomForest,Original,0.8083,0.8048,0.8083,0.7962,,,0.5063,0.5239,1
RandomForest,TVAE,0.6875,0.4775,0.6875,0.5636,,,-0.0083,-0.0432,1
DecisionTree,CTGAN,0.475,0.5424,0.475,0.495,,,-0.0636,-0.068,2
DecisionTree,Original,0.7167,0.7234,0.7167,0.7196,,,0.3503,0.3509,2
DecisionTree,TVAE,0.625,0.574,0.625,0.5898,,,0.0011,0.0012,2
KNN,CTGAN,0.5792,0.5744,0.5792,0.5767,,,0.0021,0.0021,2
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,2
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,2
LogisticRegression,CTGAN,0.65,0.6526,0.65,0.6513,,,0.1855,0.1856,2
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,2
LogisticRegression,TVAE,0.6333,0.5886,0.6333,0.6019,,,0.0315,0.0334,2
RandomForest,CTGAN,0.6,0.5745,0.6,0.585,,,0.0024,0.0025,2
RandomForest,Original,0.8083,0.8048,0.8083,0.7962,,,0.5063,0.5239,2
RandomForest,TVAE,0.6333,0.5848,0.6333,0.5989,,,0.0233,0.0249,2
DecisionTree,CTGAN,0.4,0.5576,0.4,0.3894,,,-0.0179,-0.0258,3
DecisionTree,Original,0.6833,0.7041,0.6833,0.6908,,,0.2995,0.3029,3
DecisionTree,TVAE,0.4583,0.5468,0.4583,0.4777,,,-0.0498,-0.0558,3
KNN,CTGAN,0.45,0.571,0.45,0.4617,,,-0.0038,-0.0047,3
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,3
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,3
LogisticRegression,CTGAN,0.7125,0.6958,0.7125,0.6435,,,0.143,0.2025,3
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,3
LogisticRegression,TVAE,0.5792,0.5839,0.5792,0.5814,,,0.0243,0.0243,3
RandomForest,CTGAN,0.4625,0.5495,0.4625,0.482,,,-0.045,-0.0502,3
RandomForest,Original,0.8167,0.8119,0.8167,0.8087,,,0.5391,0.549,3
RandomForest,TVAE,0.4667,0.5554,0.4667,0.4858,,,-0.0336,-0.0377,3
DecisionTree,CTGAN,0.5125,0.5655,0.5125,0.53,,,-0.0172,-0.018,4
DecisionTree,Original,0.7,0.7121,0.7,0.7048,,,0.322,0.3235,4
DecisionTree,TVAE,0.4958,0.5677,0.4958,0.5151,,,-0.0116,-0.0125,4
KNN,CTGAN,0.6083,0.5694,0.6083,0.5836,,,-0.0089,-0.0093,4
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,4
KNN,TVAE,0.6875,0.4775,0.6875,0.5636,,,-0.0083,-0.0432,4
LogisticRegression,CTGAN,0.575,0.6057,0.575,0.5867,,,0.073,0.0742,4
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,4
LogisticRegression,TVAE,0.5958,0.5387,0.5958,0.5595,,,-0.072,-0.0767,4
RandomForest,CTGAN,0.6083,0.5964,0.6083,0.6018,,,0.0534,0.0535,4
RandomForest,Original,0.7958,0.7888,0.7958,0.7863,,,0.4847,0.4946,4
RandomForest,TVAE,0.6458,0.5959,0.6458,0.6079,,,0.0444,0.0483,4
DecisionTree,CTGAN,0.5,0.6046,0.5,0.5158,,,0.0544,0.063,5
DecisionTree,Original,0.7042,0.72,0.7042,0.7101,,,0.3386,0.3411,5
DecisionTree,TVAE,0.5,0.6008,0.5,0.5164,,,0.0486,0.0558,5
KNN,CTGAN,0.6625,0.5587,0.6625,0.5761,,,-0.0157,-0.0233,5
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,5
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,5
LogisticRegression,CTGAN,0.6542,0.6555,0.6542,0.6548,,,0.1922,0.1922,5
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,5
LogisticRegression,TVAE,0.6333,0.5565,0.6333,0.5772,,,-0.0292,-0.0341,5
RandomForest,CTGAN,0.675,0.6075,0.675,0.6044,,,0.0449,0.0598,5
RandomForest,Original,0.8042,0.8018,0.8042,0.7897,,,0.4892,0.5117,5
RandomForest,TVAE,0.6625,0.5587,0.6625,0.5761,,,-0.0157,-0.0233,5
