Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,CTGAN,0.4,0.5576,0.4,0.3894,N/A,N/A,-0.0179,-0.0258
DecisionTree,Original,0.6833,0.7041,0.6833,0.6908,N/A,N/A,0.2995,0.3029
DecisionTree,TVAE,0.4583,0.5468,0.4583,0.4777,N/A,N/A,-0.0498,-0.0558
KNN,CTGAN,0.45,0.571,0.45,0.4617,N/A,N/A,-0.0038,-0.0047
KNN,Original,0.6625,0.6241,0.6625,0.6322,N/A,N/A,0.1048,0.1116
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,N/A,N/A,0.0,0.0
LogisticRegression,CTGAN,0.7125,0.6958,0.7125,0.6435,N/A,N/A,0.143,0.2025
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,N/A,N/A,0.343,0.343
LogisticRegression,TVAE,0.5792,0.5839,0.5792,0.5814,N/A,N/A,0.0243,0.0243
RandomForest,CTGAN,0.4625,0.5495,0.4625,0.482,N/A,N/A,-0.045,-0.0502
RandomForest,Original,0.8167,0.8119,0.8167,0.8087,N/A,N/A,0.5391,0.549
RandomForest,TVAE,0.4667,0.5554,0.4667,0.4858,N/A,N/A,-0.0336,-0.0377
