Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,CTGAN,0.5167,0.5804,0.5167,0.535,N/A,N/A,0.0144,0.0154
DecisionTree,Original,0.7083,0.7228,0.7083,0.7138,N/A,N/A,0.3456,0.3478
DecisionTree,TVAE,0.5,0.5833,0.5,0.5186,N/A,N/A,0.0188,0.0208
KNN,CTGAN,0.575,0.551,0.575,0.5614,N/A,N/A,-0.0515,-0.0521
KNN,Original,0.6625,0.6241,0.6625,0.6322,N/A,N/A,0.1048,0.1116
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,N/A,N/A,0.0,0.0
LogisticRegression,CTGAN,0.5833,0.6168,0.5833,0.5955,N/A,N/A,0.0975,0.0995
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,N/A,N/A,0.343,0.343
LogisticRegression,TVAE,0.6208,0.5823,0.6208,0.5956,N/A,N/A,0.0192,0.02
RandomForest,CTGAN,0.575,0.5432,0.575,0.5565,N/A,N/A,-0.0684,-0.0697
RandomForest,Original,0.7958,0.7891,0.7958,0.785,N/A,N/A,0.4805,0.4928
RandomForest,TVAE,0.6042,0.5493,0.6042,0.5686,N/A,N/A,-0.0499,-0.0531
