Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,custom_generated_rows
DecisionTree,CTGAN,0.5083,0.5568,0.5083,0.5253,,,-0.0363,-0.0376,1000
DecisionTree,GaussianCopula,0.5208,0.5643,0.5208,0.5366,,,-0.0203,-0.0209,1000
DecisionTree,Original,0.675,0.7019,0.675,0.6839,,,0.2911,0.2961,1000
DecisionTree,TVAE,0.5917,0.5886,0.5917,0.5901,,,0.0354,0.0354,1000
KNN,CTGAN,0.4958,0.5774,0.4958,0.5147,,,0.0075,0.0083,1000
KNN,GaussianCopula,0.6458,0.5625,0.6458,0.581,,,-0.0169,-0.0209,1000
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,1000
KNN,TVAE,0.6958,0.7887,0.6958,0.5752,,,0.0186,0.0969,1000
LogisticRegression,CTGAN,0.4208,0.6029,0.4208,0.4046,,,0.0306,0.0459,1000
LogisticRegression,GaussianCopula,0.7167,0.7003,0.7167,0.6551,,,0.1673,0.2231,1000
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,1000
LogisticRegression,TVAE,0.5417,0.5549,0.5417,0.5478,,,-0.0433,-0.0434,1000
RandomForest,CTGAN,0.4417,0.551,0.4417,0.4567,,,-0.0372,-0.0442,1000
RandomForest,GaussianCopula,0.6542,0.5834,0.6542,0.5951,,,0.016,0.0193,1000
RandomForest,Original,0.7958,0.7888,0.7958,0.7863,,,0.4847,0.4946,1000
RandomForest,TVAE,0.5042,0.536,0.5042,0.5173,,,-0.0853,-0.0866,1000
DecisionTree,CTGAN,0.4917,0.5747,0.4917,0.5105,,,0.0025,0.0027,2000
DecisionTree,GaussianCopula,0.6417,0.6791,0.6417,0.6532,,,0.2344,0.241,2000
DecisionTree,Original,0.7083,0.7228,0.7083,0.7138,,,0.3456,0.3478,2000
DecisionTree,TVAE,0.4667,0.5462,0.4667,0.4867,,,-0.0532,-0.0584,2000
KNN,CTGAN,0.5708,0.591,0.5708,0.5794,,,0.0405,0.0408,2000
KNN,GaussianCopula,0.65,0.5671,0.65,0.5836,,,-0.0096,-0.012,2000
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,2000
KNN,TVAE,0.675,0.6028,0.675,0.5995,,,0.0358,0.0497,2000
LogisticRegression,CTGAN,0.3542,0.6241,0.3542,0.2636,,,0.0187,0.0471,2000
LogisticRegression,GaussianCopula,0.6958,0.6589,0.6958,0.651,,,0.15,0.1733,2000
