Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,CTGAN,0.4583,0.5697,0.4583,0.4729,,,-0.0062,-0.0074
DecisionTree,GaussianCopula,0.5792,0.6436,0.5792,0.5952,,,0.1447,0.1543
DecisionTree,Original,0.7125,0.7205,0.7125,0.7159,,,0.3432,0.3439
DecisionTree,TVAE,0.4958,0.5807,0.4958,0.5144,,,0.0137,0.0152
KNN,CTGAN,0.575,0.551,0.575,0.5614,,,-0.0515,-0.0521
KNN,GaussianCopula,0.6667,0.6141,0.6667,0.6193,,,0.0726,0.0832
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116
KNN,TVAE,0.6958,0.7887,0.6958,0.5752,,,0.0186,0.0969
LogisticRegression,CTGAN,0.5875,0.6011,0.5875,0.5936,,,0.0644,0.0647
LogisticRegression,GaussianCopula,0.6,0.6454,0.6,0.6138,,,0.1569,0.1627
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343
LogisticRegression,TVAE,0.5833,0.5738,0.5833,0.5782,,,0.0007,0.0007
RandomForest,CTGAN,0.5958,0.5645,0.5958,0.577,,,-0.0202,-0.0206
RandomForest,GaussianCopula,0.6583,0.6114,0.6583,0.6201,,,0.0741,0.0812
RandomForest,Original,0.8042,0.7994,0.8042,0.7925,,,0.4976,0.5134
RandomForest,TVAE,0.5917,0.5191,0.5917,0.546,,,-0.1065,-0.1166
