Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.65,0.637,0.65,0.6424,,,0.1475,0.1483
DecisionTree,CTGAN,0.575,0.5844,0.575,0.5794,,,0.0255,0.0255
DecisionTree,GaussianCopula,0.5375,0.5588,0.5375,0.5467,,,-0.034,-0.0343
DecisionTree,Original,0.7208,0.7287,0.7208,0.7241,,,0.3622,0.363
DecisionTree,TVAE,0.4042,0.5572,0.4042,0.397,,,-0.0191,-0.027
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478
KNN,CTGAN,0.6208,0.5707,0.6208,0.5868,,,-0.0057,-0.0061
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116
KNN,TVAE,0.6792,0.4757,0.6792,0.5595,,,-0.0246,-0.0751
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293
LogisticRegression,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343
LogisticRegression,TVAE,0.4833,0.5507,0.4833,0.503,,,-0.0467,-0.05
RandomForest,Anonymous,0.5583,0.568,0.5583,0.5629,,,-0.0127,-0.0128
RandomForest,CTGAN,0.6917,0.6371,0.6917,0.5931,,,0.0398,0.0771
RandomForest,GaussianCopula,0.6958,0.6536,0.6958,0.6275,,,0.1019,0.1384
RandomForest,Original,0.8083,0.8048,0.8083,0.7962,,,0.5063,0.5239
RandomForest,TVAE,0.4042,0.5281,0.4042,0.4119,,,-0.0657,-0.0836
