Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,epochs,k_anonymity
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,1,2
KNN,CTGAN,0.6625,0.5465,0.6625,0.5704,,,-0.0255,-0.0402,1,2
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477,1,2
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,1,2
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1,2
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,1,2
LogisticRegression,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1,2
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988,1,2
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,1,2
LogisticRegression,TVAE,0.5417,0.5612,0.5417,0.5503,,,-0.0284,-0.0285,1,2
RandomForest,Anonymous,0.5792,0.5807,0.5792,0.5799,,,0.017,0.017,1,2
RandomForest,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1,2
RandomForest,GaussianCopula,0.7292,0.7256,0.7292,0.6723,,,0.2078,0.2722,1,2
RandomForest,Original,0.8042,0.7979,0.8042,0.7962,,,0.5097,0.5179,1,2
RandomForest,TVAE,0.5,0.5366,0.5,0.5146,,,-0.083,-0.0847,1,2
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,1,3
KNN,CTGAN,0.6625,0.5465,0.6625,0.5704,,,-0.0255,-0.0402,1,3
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477,1,3
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,1,3
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1,3
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,1,3
LogisticRegression,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1,3
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988,1,3
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,1,3
LogisticRegression,TVAE,0.5417,0.5612,0.5417,0.5503,,,-0.0284,-0.0285,1,3
RandomForest,Anonymous,0.5625,0.5609,0.5625,0.5617,,,-0.0296,-0.0296,1,3
RandomForest,CTGAN,0.6958,0.7887,0.6958,0.5752,,,0.0186,0.0969,1,3
RandomForest,GaussianCopula,0.6958,0.6545,0.6958,0.6074,,,0.0667,0.1125,1,3
RandomForest,Original,0.7708,0.7612,0.7708,0.7615,,,0.4262,0.4331,1,3
RandomForest,TVAE,0.5125,0.5685,0.5125,0.5304,,,-0.0105,-0.011,1,3
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,1,5
KNN,CTGAN,0.6625,0.5465,0.6625,0.5704,,,-0.0255,-0.0402,1,5
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477,1,5
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,1,5
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1,5
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,1,5
LogisticRegression,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1,5
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988,1,5
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,1,5
LogisticRegression,TVAE,0.5417,0.5612,0.5417,0.5503,,,-0.0284,-0.0285,1,5
RandomForest,Anonymous,0.5583,0.5616,0.5583,0.5599,,,-0.0278,-0.0278,1,5
RandomForest,CTGAN,0.6958,0.7887,0.6958,0.5752,,,0.0186,0.0969,1,5
RandomForest,GaussianCopula,0.7125,0.6924,0.7125,0.6479,,,0.1511,0.2052,1,5
RandomForest,Original,0.8083,0.8048,0.8083,0.7962,,,0.5063,0.5239,1,5
RandomForest,TVAE,0.525,0.5576,0.525,0.538,,,-0.036,-0.0367,1,5
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,2,2
KNN,CTGAN,0.625,0.589,0.625,0.6014,,,0.034,0.0352,2,2
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477,2,2
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,2,2
KNN,TVAE,0.675,0.5541,0.675,0.5712,,,-0.0121,-0.0235,2,2
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,2,2
LogisticRegression,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,2,2
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988,2,2
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,2,2
LogisticRegression,TVAE,0.5583,0.5481,0.5583,0.5529,,,-0.0593,-0.0594,2,2
RandomForest,Anonymous,0.575,0.5813,0.575,0.578,,,0.0183,0.0183,2,2
RandomForest,CTGAN,0.6792,0.6185,0.6792,0.6118,,,0.0615,0.0806,2,2
RandomForest,GaussianCopula,0.7125,0.6899,0.7125,0.6521,,,0.159,0.2083,2,2
RandomForest,Original,0.8,0.7936,0.8,0.7901,,,0.4931,0.5045,2,2
RandomForest,TVAE,0.5292,0.5309,0.5292,0.53,,,-0.0998,-0.0998,2,2
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,2,3
KNN,CTGAN,0.625,0.589,0.625,0.6014,,,0.034,0.0352,2,3
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477,2,3
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,2,3
KNN,TVAE,0.675,0.5541,0.675,0.5712,,,-0.0121,-0.0235,2,3
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,2,3
LogisticRegression,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,2,3
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988,2,3
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,2,3
LogisticRegression,TVAE,0.5583,0.5481,0.5583,0.5529,,,-0.0593,-0.0594,2,3
RandomForest,Anonymous,0.55,0.5566,0.55,0.5532,,,-0.0395,-0.0395,2,3
RandomForest,CTGAN,0.675,0.5973,0.675,0.5944,,,0.0266,0.0386,2,3
RandomForest,GaussianCopula,0.7,0.6632,0.7,0.6348,,,0.1184,0.1578,2,3
RandomForest,Original,0.8042,0.7979,0.8042,0.7974,,,0.5135,0.5198,2,3
RandomForest,TVAE,0.525,0.5545,0.525,0.5371,,,-0.0433,-0.0439,2,3
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,2,5
KNN,CTGAN,0.625,0.589,0.625,0.6014,,,0.034,0.0352,2,5
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477,2,5
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,2,5
KNN,TVAE,0.675,0.5541,0.675,0.5712,,,-0.0121,-0.0235,2,5
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,2,5
LogisticRegression,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,2,5
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988,2,5
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,2,5
LogisticRegression,TVAE,0.5583,0.5481,0.5583,0.5529,,,-0.0593,-0.0594,2,5
RandomForest,Anonymous,0.5792,0.5744,0.5792,0.5767,,,0.0021,0.0021,2,5
RandomForest,CTGAN,0.6708,0.5896,0.6708,0.5919,,,0.0188,0.0267,2,5
RandomForest,GaussianCopula,0.7125,0.6958,0.7125,0.6435,,,0.143,0.2025,2,5
RandomForest,Original,0.7875,0.7794,0.7875,0.7776,,,0.4636,0.4732,2,5
RandomForest,TVAE,0.5167,0.5237,0.5167,0.5201,,,-0.1165,-0.1165,2,5
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,3,2
KNN,CTGAN,0.575,0.6026,0.575,0.5859,,,0.0665,0.0674,3,2
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477,3,2
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,3,2
KNN,TVAE,0.6875,0.5814,0.6875,0.571,,,0.002,0.0061,3,2
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,3,2
LogisticRegression,CTGAN,0.6542,0.5569,0.6542,0.5765,,,-0.0211,-0.0287,3,2
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988,3,2
