Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,N/A,N/A,0.0421,0.0478
KNN,CTGAN,0.625,0.589,0.625,0.6014,N/A,N/A,0.034,0.0352
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,N/A,N/A,0.0409,0.0477
KNN,Original,0.6625,0.6241,0.6625,0.6322,N/A,N/A,0.1048,0.1116
KNN,TVAE,0.675,0.5541,0.675,0.5712,N/A,N/A,-0.0121,-0.0235
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,N/A,N/A,0.0249,0.0293
LogisticRegression,CTGAN,0.6917,0.4784,0.6917,0.5656,N/A,N/A,0.0,0.0
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,N/A,N/A,0.1178,0.1988
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,N/A,N/A,0.343,0.343
LogisticRegression,TVAE,0.5583,0.5481,0.5583,0.5529,N/A,N/A,-0.0593,-0.0594
RandomForest,Anonymous,0.5375,0.5459,0.5375,0.5415,N/A,N/A,-0.0644,-0.0645
RandomForest,CTGAN,0.7042,0.6855,0.7042,0.6181,N/A,N/A,0.0923,0.1557
RandomForest,GaussianCopula,0.6875,0.6268,0.6875,0.6022,N/A,N/A,0.0504,0.0794
RandomForest,Original,0.8042,0.8018,0.8042,0.7897,N/A,N/A,0.4892,0.5117
RandomForest,TVAE,0.5458,0.5441,0.5458,0.545,N/A,N/A,-0.0688,-0.0688
