Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478
KNN,CTGAN,0.625,0.589,0.625,0.6014,,,0.034,0.0352
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116
KNN,TVAE,0.675,0.5541,0.675,0.5712,,,-0.0121,-0.0235
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293
LogisticRegression,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343
LogisticRegression,TVAE,0.5583,0.5481,0.5583,0.5529,,,-0.0593,-0.0594
RandomForest,Anonymous,0.55,0.5533,0.55,0.5516,,,-0.0472,-0.0472
RandomForest,CTGAN,0.6833,0.5548,0.6833,0.5688,,,-0.0062,-0.0164
RandomForest,GaussianCopula,0.7,0.6636,0.7,0.6303,,,0.11,0.1524
RandomForest,Original,0.8083,0.8038,0.8083,0.7976,,,0.5103,0.5249
RandomForest,TVAE,0.5125,0.5281,0.5125,0.5197,,,-0.1057,-0.1061
