Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,epochs
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,1
KNN,CTGAN,0.6625,0.5465,0.6625,0.5704,,,-0.0255,-0.0402,1
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477,1
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,1
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,1
LogisticRegression,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988,1
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,1
LogisticRegression,TVAE,0.5417,0.5612,0.5417,0.5503,,,-0.0284,-0.0285,1
RandomForest,Anonymous,0.5708,0.5724,0.5708,0.5716,,,-0.0024,-0.0024,1
RandomForest,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1
RandomForest,GaussianCopula,0.7042,0.6803,0.7042,0.6234,,,0.1011,0.1591,1
RandomForest,Original,0.8125,0.8103,0.8125,0.8,,,0.515,0.5348,1
RandomForest,TVAE,0.5083,0.566,0.5083,0.5265,,,-0.0158,-0.0166,1
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,2
KNN,CTGAN,0.625,0.589,0.625,0.6014,,,0.034,0.0352,2
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477,2
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,2
KNN,TVAE,0.675,0.5541,0.675,0.5712,,,-0.0121,-0.0235,2
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,2
LogisticRegression,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,2
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988,2
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,2
LogisticRegression,TVAE,0.5583,0.5481,0.5583,0.5529,,,-0.0593,-0.0594,2
RandomForest,Anonymous,0.5625,0.5641,0.5625,0.5633,,,-0.0219,-0.0219,2
RandomForest,CTGAN,0.675,0.5541,0.675,0.5712,,,-0.0121,-0.0235,2
RandomForest,GaussianCopula,0.6833,0.6261,0.6833,0.6145,,,0.0694,0.0925,2
RandomForest,Original,0.8083,0.8038,0.8083,0.7976,,,0.5103,0.5249,2
RandomForest,TVAE,0.5458,0.5541,0.5458,0.5498,,,-0.0452,-0.0453,2
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,3
KNN,CTGAN,0.575,0.6026,0.575,0.5859,,,0.0665,0.0674,3
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477,3
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,3
KNN,TVAE,0.6875,0.5814,0.6875,0.571,,,0.002,0.0061,3
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,3
LogisticRegression,CTGAN,0.6542,0.5569,0.6542,0.5765,,,-0.0211,-0.0287,3
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988,3
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,3
LogisticRegression,TVAE,0.5083,0.5629,0.5083,0.5262,,,-0.0225,-0.0236,3
RandomForest,Anonymous,0.5458,0.5541,0.5458,0.5498,,,-0.0452,-0.0453,3
RandomForest,CTGAN,0.5583,0.5516,0.5583,0.5548,,,-0.0512,-0.0513,3
RandomForest,GaussianCopula,0.7125,0.6958,0.7125,0.6435,,,0.143,0.2025,3
RandomForest,Original,0.8083,0.8031,0.8083,0.7988,,,0.5143,0.5261,3
RandomForest,TVAE,0.3792,0.5652,0.3792,0.3441,,,-0.0069,-0.0116,3
