Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.6423,0.6267,0.6423,0.633,N/A,N/A,0.124,0.1249
DecisionTree,CTGAN,0.5285,0.5285,0.5285,0.5285,N/A,N/A,-0.1043,-0.1043
DecisionTree,GaussianCopula,0.5041,0.5455,0.5041,0.5198,N/A,N/A,-0.0611,-0.0627
DecisionTree,Original,0.7317,0.7528,0.7317,0.7384,N/A,N/A,0.4103,0.4157
DecisionTree,TVAE,0.6992,0.6818,0.6992,0.6865,N/A,N/A,0.2461,0.2504
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,N/A,N/A,0.036,0.0392
KNN,CTGAN,0.6748,0.6067,0.6748,0.6029,N/A,N/A,0.0435,0.0586
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,N/A,N/A,0.1539,0.181
KNN,Original,0.6504,0.6226,0.6504,0.6314,N/A,N/A,0.11,0.113
KNN,TVAE,0.6911,0.6342,0.6911,0.579,N/A,N/A,0.0197,0.0532
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,N/A,N/A,0.0,0.0
LogisticRegression,CTGAN,0.6748,0.6309,0.6748,0.6338,N/A,N/A,0.1087,0.1214
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,N/A,N/A,0.2293,0.2645
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,N/A,N/A,0.6184,0.6476
LogisticRegression,TVAE,0.7073,0.6893,0.7073,0.6933,N/A,N/A,0.2608,0.2664
RandomForest,Anonymous,0.5854,0.5302,0.5854,0.5512,N/A,N/A,-0.09,-0.095
RandomForest,CTGAN,0.6992,0.7904,0.6992,0.5834,N/A,N/A,0.036,0.1354
RandomForest,GaussianCopula,0.7154,0.7151,0.7154,0.6394,N/A,N/A,0.1395,0.2155
RandomForest,Original,0.8293,0.8276,0.8293,0.82,N/A,N/A,0.5654,0.5806
RandomForest,TVAE,0.7561,0.8197,0.7561,0.6949,N/A,N/A,0.2693,0.3945
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,N/A,N/A,0.0,0.0
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,N/A,N/A,0.0,0.0
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,N/A,N/A,0.0,0.0
SVM,Original,0.6911,0.4776,0.6911,0.5648,N/A,N/A,0.0,0.0
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,N/A,N/A,0.0,0.0
