Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.6504,0.6328,0.6504,0.6396,,,0.1373,0.1387
DecisionTree,CTGAN,0.5528,0.5496,0.5528,0.5512,,,-0.0549,-0.0549
DecisionTree,GaussianCopula,0.561,0.5734,0.561,0.5667,,,0.0009,0.0009
DecisionTree,Original,0.6992,0.7273,0.6992,0.7078,,,0.3477,0.3544
DecisionTree,TVAE,0.6179,0.6816,0.6179,0.6323,,,0.2237,0.2385
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392
KNN,CTGAN,0.6016,0.559,0.6016,0.5747,,,-0.0304,-0.0316
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113
KNN,TVAE,0.6911,0.6342,0.6911,0.579,,,0.0197,0.0532
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0
LogisticRegression,CTGAN,0.6992,0.6929,0.6992,0.6956,,,0.2798,0.2803
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476
LogisticRegression,TVAE,0.7398,0.7234,0.7398,0.7163,,,0.3104,0.3307
RandomForest,Anonymous,0.6179,0.5709,0.6179,0.5864,,,-0.0045,-0.0048
RandomForest,CTGAN,0.6748,0.626,0.6748,0.6272,,,0.0933,0.1076
RandomForest,GaussianCopula,0.748,0.7528,0.748,0.7024,,,0.2785,0.3425
RandomForest,Original,0.8374,0.8427,0.8374,0.8252,,,0.576,0.6032
RandomForest,TVAE,0.7642,0.7539,0.7642,0.7448,,,0.3802,0.4014
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0
