Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.6423,0.6214,0.6423,0.6293,,,0.1105,0.1119
DecisionTree,CTGAN,0.5528,0.5428,0.5528,0.5475,,,-0.0706,-0.0707
DecisionTree,GaussianCopula,0.561,0.5913,0.561,0.5728,,,0.0416,0.0422
DecisionTree,Original,0.7073,0.7444,0.7073,0.7169,,,0.3779,0.3895
DecisionTree,TVAE,0.6585,0.6488,0.6585,0.653,,,0.1763,0.1769
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392
KNN,CTGAN,0.6748,0.6067,0.6748,0.6029,,,0.0435,0.0586
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113
KNN,TVAE,0.6911,0.6342,0.6911,0.579,,,0.0197,0.0532
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0
LogisticRegression,CTGAN,0.6748,0.6309,0.6748,0.6338,,,0.1087,0.1214
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476
LogisticRegression,TVAE,0.7073,0.6893,0.7073,0.6933,,,0.2608,0.2664
RandomForest,Anonymous,0.6179,0.5917,0.6179,0.6018,,,0.0424,0.0431
RandomForest,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0
RandomForest,GaussianCopula,0.6911,0.6463,0.6911,0.6312,,,0.1077,0.136
RandomForest,Original,0.8455,0.8501,0.8455,0.8351,,,0.6004,0.6242
RandomForest,TVAE,0.7317,0.7306,0.7317,0.6762,,,0.2181,0.2837
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0
