Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,CTGAN,0.5208,0.5527,0.5208,0.5336,N/A,N/A,-0.0395,-0.0402
DecisionTree,GaussianCopula,0.5729,0.5523,0.5729,0.5613,N/A,N/A,-0.0413,-0.0416
DecisionTree,Original,0.7292,0.7786,0.7292,0.7387,N/A,N/A,0.4409,0.4623
DecisionTree,TVAE,0.5729,0.4713,0.5729,0.5129,N/A,N/A,-0.1756,-0.2011
KNN,CTGAN,0.625,0.5967,0.625,0.6069,N/A,N/A,0.0588,0.0602
KNN,GaussianCopula,0.6771,0.6381,0.6771,0.6397,N/A,N/A,0.1298,0.1431
KNN,Original,0.6146,0.5719,0.6146,0.5861,N/A,N/A,0.0034,0.0035
KNN,TVAE,0.6875,0.4727,0.6875,0.5602,N/A,N/A,0.0,0.0
LogisticRegression,CTGAN,0.5521,0.5791,0.5521,0.5629,N/A,N/A,0.0199,0.0202
LogisticRegression,GaussianCopula,0.75,0.7616,0.75,0.7039,N/A,N/A,0.2889,0.3586
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,N/A,N/A,0.5512,0.5674
LogisticRegression,TVAE,0.6042,0.554,0.6042,0.5712,N/A,N/A,-0.034,-0.036
RandomForest,CTGAN,0.625,0.5262,0.625,0.5559,N/A,N/A,-0.0667,-0.0828
RandomForest,GaussianCopula,0.7396,0.7488,0.7396,0.6873,N/A,N/A,0.2509,0.3229
RandomForest,Original,0.8125,0.8078,0.8125,0.8086,N/A,N/A,0.5472,0.55
RandomForest,TVAE,0.6771,0.5773,0.6771,0.5724,N/A,N/A,0.004,0.0081
SVM,CTGAN,0.6979,0.7901,0.6979,0.5838,N/A,N/A,0.0453,0.1522
SVM,GaussianCopula,0.6875,0.4727,0.6875,0.5602,N/A,N/A,0.0,0.0
SVM,Original,0.6875,0.4727,0.6875,0.5602,N/A,N/A,0.0,0.0
SVM,TVAE,0.6875,0.4727,0.6875,0.5602,N/A,N/A,0.0,0.0
