Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows
DecisionTree,CTGAN,0.6111,0.6209,0.6111,0.6156,,,0.1064,0.1066,0.3,,,,10.0,614.0
DecisionTree,GaussianCopula,0.6806,0.6934,0.6806,0.6858,,,0.275,0.2762,0.3,,,,10.0,614.0
DecisionTree,TVAE,0.5833,0.5324,0.5833,0.5525,,,-0.0931,-0.0973,0.3,,,,10.0,614.0
KNN,CTGAN,0.6597,0.6015,0.6597,0.6111,,,0.0465,0.0532,0.3,,,,10.0,614.0
KNN,GaussianCopula,0.6111,0.5419,0.6111,0.5656,,,-0.0655,-0.0722,0.3,,,,10.0,614.0
KNN,TVAE,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.3,,,,10.0,614.0
LogisticRegression,CTGAN,0.7014,0.6913,0.7014,0.5965,,,0.048,0.1143,0.3,,,,10.0,614.0
LogisticRegression,GaussianCopula,0.7917,0.7856,0.7917,0.7871,,,0.4896,0.4922,0.3,,,,10.0,614.0
LogisticRegression,TVAE,0.7014,0.7912,0.7014,0.5851,,,0.0313,0.1261,0.3,,,,10.0,614.0
RandomForest,CTGAN,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.3,,,,10.0,614.0
RandomForest,GaussianCopula,0.8056,0.8059,0.8056,0.7886,,,0.4825,0.5117,0.3,,,,10.0,614.0
RandomForest,TVAE,0.6806,0.4793,0.6806,0.5624,,,-0.0273,-0.0787,0.3,,,,10.0,614.0
SVM,CTGAN,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.3,,,,10.0,614.0
SVM,GaussianCopula,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.3,,,,10.0,614.0
SVM,TVAE,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.3,,,,10.0,614.0
DecisionTree,CTGAN,0.6667,0.6502,0.6667,0.6564,,,0.1724,0.1741,0.3,,,,15.0,614.0
DecisionTree,GaussianCopula,0.7014,0.7073,0.7014,0.704,,,0.3095,0.3099,0.3,,,,15.0,614.0
DecisionTree,TVAE,0.4375,0.5251,0.4375,0.4586,,,-0.0954,-0.1066,0.3,,,,15.0,614.0
KNN,CTGAN,0.6319,0.6001,0.6319,0.6113,,,0.0545,0.056,0.3,,,,15.0,614.0
KNN,GaussianCopula,0.6111,0.5419,0.6111,0.5656,,,-0.0655,-0.0722,0.3,,,,15.0,614.0
KNN,TVAE,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.3,,,,15.0,614.0
LogisticRegression,CTGAN,0.6042,0.5613,0.6042,0.5773,,,-0.0312,-0.0324,0.3,,,,15.0,614.0
LogisticRegression,GaussianCopula,0.7917,0.7856,0.7917,0.7871,,,0.4896,0.4922,0.3,,,,15.0,614.0
LogisticRegression,TVAE,0.6667,0.5564,0.6667,0.5767,,,-0.0189,-0.0293,0.3,,,,15.0,614.0
RandomForest,CTGAN,0.6319,0.4681,0.6319,0.5378,,,-0.1158,-0.1713,0.3,,,,15.0,614.0
RandomForest,GaussianCopula,0.7847,0.7894,0.7847,0.7577,,,0.4058,0.4521,0.3,,,,15.0,614.0
RandomForest,TVAE,0.5833,0.5544,0.5833,0.5665,,,-0.0485,-0.0493,0.3,,,,15.0,614.0
