Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows
DecisionTree,Anonymous,0.5625,0.5707,0.5625,0.5664,,,-0.0116,-0.0116,0.2,10.0,4.0,0.01,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,10.0,4.0,0.01,,
LogisticRegression,Anonymous,0.6667,0.6093,0.6667,0.6159,,,0.0588,0.0684,0.2,10.0,4.0,0.01,,
RandomForest,Anonymous,0.5833,0.604,0.5833,0.592,,,0.0657,0.0663,0.2,10.0,4.0,0.01,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,10.0,4.0,0.01,,
DecisionTree,Anonymous,0.5625,0.576,0.5625,0.5687,,,0.0009,0.0009,0.2,15.0,4.0,0.01,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,15.0,4.0,0.01,,
LogisticRegression,Anonymous,0.6667,0.6093,0.6667,0.6159,,,0.0588,0.0684,0.2,15.0,4.0,0.01,,
RandomForest,Anonymous,0.6042,0.6216,0.6042,0.6116,,,0.107,0.1077,0.2,15.0,4.0,0.01,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,15.0,4.0,0.01,,
DecisionTree,Anonymous,0.5625,0.5812,0.5625,0.5707,,,0.0131,0.0131,0.2,20.0,4.0,0.01,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,20.0,4.0,0.01,,
LogisticRegression,Anonymous,0.6667,0.6093,0.6667,0.6159,,,0.0588,0.0684,0.2,20.0,4.0,0.01,,
RandomForest,Anonymous,0.5903,0.6183,0.5903,0.6011,,,0.0977,0.0991,0.2,20.0,4.0,0.01,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,20.0,4.0,0.01,,
DecisionTree,Anonymous,0.5278,0.5712,0.5278,0.5436,,,-0.0099,-0.0102,0.2,2.0,4.0,0.01,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,2.0,4.0,0.01,,
LogisticRegression,Anonymous,0.5972,0.5493,0.5972,0.5674,,,-0.0567,-0.0593,0.2,2.0,4.0,0.01,,
RandomForest,Anonymous,0.6042,0.6166,0.6042,0.6097,,,0.096,0.0963,0.2,2.0,4.0,0.01,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,2.0,4.0,0.01,,
DecisionTree,Anonymous,0.5208,0.5723,0.5208,0.5382,,,-0.0073,-0.0076,0.2,3.0,4.0,0.01,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,3.0,4.0,0.01,,
LogisticRegression,Anonymous,0.5972,0.5493,0.5972,0.5674,,,-0.0567,-0.0593,0.2,3.0,4.0,0.01,,
RandomForest,Anonymous,0.5972,0.6073,0.5972,0.6019,,,0.0745,0.0746,0.2,3.0,4.0,0.01,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,3.0,4.0,0.01,,
DecisionTree,Anonymous,0.5347,0.5804,0.5347,0.5508,,,0.0107,0.011,0.2,5.0,4.0,0.01,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,5.0,4.0,0.01,,
LogisticRegression,Anonymous,0.5972,0.5493,0.5972,0.5674,,,-0.0567,-0.0593,0.2,5.0,4.0,0.01,,
RandomForest,Anonymous,0.6111,0.6111,0.6111,0.6111,,,0.0836,0.0836,0.2,5.0,4.0,0.01,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,5.0,4.0,0.01,,
