Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows
DecisionTree,Anonymous,0.5694,0.5802,0.5694,0.5744,,,0.0106,0.0107,0.2,10.0,3.0,0.1,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,10.0,3.0,0.1,,
LogisticRegression,Anonymous,0.5278,0.5764,0.5278,0.5445,,,0.0016,0.0017,0.2,10.0,3.0,0.1,,
RandomForest,Anonymous,0.5833,0.578,0.5833,0.5806,,,0.0055,0.0055,0.2,10.0,3.0,0.1,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,10.0,3.0,0.1,,
DecisionTree,Anonymous,0.5486,0.557,0.5486,0.5526,,,-0.0437,-0.0438,0.2,15.0,3.0,0.1,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,15.0,3.0,0.1,,
LogisticRegression,Anonymous,0.5278,0.5764,0.5278,0.5445,,,0.0016,0.0017,0.2,15.0,3.0,0.1,,
RandomForest,Anonymous,0.6111,0.5959,0.6111,0.6025,,,0.0473,0.0475,0.2,15.0,3.0,0.1,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,15.0,3.0,0.1,,
DecisionTree,Anonymous,0.5625,0.5707,0.5625,0.5664,,,-0.0116,-0.0116,0.2,20.0,3.0,0.1,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,20.0,3.0,0.1,,
LogisticRegression,Anonymous,0.6667,0.6093,0.6667,0.6159,,,0.0588,0.0684,0.2,20.0,3.0,0.1,,
RandomForest,Anonymous,0.5903,0.6081,0.5903,0.5979,,,0.0757,0.0762,0.2,20.0,3.0,0.1,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,20.0,3.0,0.1,,
DecisionTree,Anonymous,0.5139,0.5734,0.5139,0.5325,,,-0.0048,-0.005,0.2,2.0,3.0,0.1,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,2.0,3.0,0.1,,
LogisticRegression,Anonymous,0.5972,0.5493,0.5972,0.5674,,,-0.0567,-0.0593,0.2,2.0,3.0,0.1,,
RandomForest,Anonymous,0.5972,0.6174,0.5972,0.6056,,,0.0969,0.0976,0.2,2.0,3.0,0.1,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,2.0,3.0,0.1,,
DecisionTree,Anonymous,0.5208,0.5828,0.5208,0.5393,,,0.0151,0.016,0.2,3.0,3.0,0.1,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,3.0,3.0,0.1,,
LogisticRegression,Anonymous,0.5972,0.5493,0.5972,0.5674,,,-0.0567,-0.0593,0.2,3.0,3.0,0.1,,
RandomForest,Anonymous,0.6181,0.6253,0.6181,0.6214,,,0.1169,0.117,0.2,3.0,3.0,0.1,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,3.0,3.0,0.1,,
DecisionTree,Anonymous,0.5347,0.5804,0.5347,0.5508,,,0.0107,0.011,0.2,5.0,3.0,0.1,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,5.0,3.0,0.1,,
LogisticRegression,Anonymous,0.5972,0.5493,0.5972,0.5674,,,-0.0567,-0.0593,0.2,5.0,3.0,0.1,,
RandomForest,Anonymous,0.6111,0.616,0.6111,0.6135,,,0.0952,0.0952,0.2,5.0,3.0,0.1,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,5.0,3.0,0.1,,
