Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows
DecisionTree,Anonymous,0.5347,0.5804,0.5347,0.5508,,,0.0107,0.011,0.2,3.0,2.0,0.01,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,3.0,2.0,0.01,,
LogisticRegression,Anonymous,0.5972,0.5493,0.5972,0.5674,,,-0.0567,-0.0593,0.2,3.0,2.0,0.01,,
RandomForest,Anonymous,0.5903,0.6031,0.5903,0.596,,,0.0643,0.0645,0.2,3.0,2.0,0.01,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,3.0,2.0,0.01,,
DecisionTree,Anonymous,0.4375,0.4941,0.4375,0.4573,,,-0.1613,-0.1691,0.2,3.0,3.0,0.01,,
KNN,Anonymous,0.6667,0.6266,0.6667,0.6319,,,0.1111,0.1206,0.2,3.0,3.0,0.01,,
LogisticRegression,Anonymous,0.5625,0.5544,0.5625,0.5582,,,-0.037,-0.0371,0.2,3.0,3.0,0.01,,
RandomForest,Anonymous,0.5208,0.5374,0.5208,0.5283,,,-0.076,-0.0764,0.2,3.0,3.0,0.01,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,0.2,3.0,3.0,0.01,,
DecisionTree,Anonymous,0.5208,0.5723,0.5208,0.5382,,,-0.0073,-0.0076,0.2,3.0,4.0,0.01,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,3.0,4.0,0.01,,
LogisticRegression,Anonymous,0.5972,0.5493,0.5972,0.5674,,,-0.0567,-0.0593,0.2,3.0,4.0,0.01,,
RandomForest,Anonymous,0.5972,0.6073,0.5972,0.6019,,,0.0745,0.0746,0.2,3.0,4.0,0.01,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,3.0,4.0,0.01,,
DecisionTree,Anonymous,0.5347,0.5752,0.5347,0.5497,,,-0.0008,-0.0009,0.2,3.0,5.0,0.01,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,3.0,5.0,0.01,,
LogisticRegression,Anonymous,0.5972,0.5493,0.5972,0.5674,,,-0.0567,-0.0593,0.2,3.0,5.0,0.01,,
RandomForest,Anonymous,0.5903,0.6081,0.5903,0.5979,,,0.0757,0.0762,0.2,3.0,5.0,0.01,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,3.0,5.0,0.01,,
