Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows
DecisionTree,Anonymous,0.5556,0.5771,0.5556,0.5648,,,0.0035,0.0035,0.2,20.0,2.0,0.1,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,20.0,2.0,0.1,,
LogisticRegression,Anonymous,0.6667,0.6093,0.6667,0.6159,,,0.0588,0.0684,0.2,20.0,2.0,0.1,,
RandomForest,Anonymous,0.5903,0.6183,0.5903,0.6011,,,0.0977,0.0991,0.2,20.0,2.0,0.1,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,20.0,2.0,0.1,,
DecisionTree,Anonymous,0.5625,0.5707,0.5625,0.5664,,,-0.0116,-0.0116,0.2,20.0,3.0,0.1,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,20.0,3.0,0.1,,
LogisticRegression,Anonymous,0.6667,0.6093,0.6667,0.6159,,,0.0588,0.0684,0.2,20.0,3.0,0.1,,
RandomForest,Anonymous,0.5903,0.6081,0.5903,0.5979,,,0.0757,0.0762,0.2,20.0,3.0,0.1,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,20.0,3.0,0.1,,
DecisionTree,Anonymous,0.5556,0.5771,0.5556,0.5648,,,0.0035,0.0035,0.2,20.0,4.0,0.1,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,20.0,4.0,0.1,,
LogisticRegression,Anonymous,0.6667,0.6093,0.6667,0.6159,,,0.0588,0.0684,0.2,20.0,4.0,0.1,,
RandomForest,Anonymous,0.5833,0.6194,0.5833,0.5962,,,0.0985,0.1008,0.2,20.0,4.0,0.1,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,20.0,4.0,0.1,,
