Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.5208,0.5723,0.5208,0.5382,N/A,N/A,-0.0073,-0.0076
DecisionTree,CTGAN,0.4653,0.5702,0.4653,0.4826,N/A,N/A,-0.0095,-0.011
DecisionTree,GaussianCopula,0.7292,0.7309,0.7292,0.73,N/A,N/A,0.3659,0.3659
DecisionTree,Original,0.7431,0.7415,0.7431,0.7422,N/A,N/A,0.3907,0.3907
DecisionTree,TVAE,0.5278,0.5556,0.5278,0.5394,N/A,N/A,-0.0462,-0.0467
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,N/A,N/A,0.1247,0.1373
KNN,CTGAN,0.6597,0.5945,0.6597,0.6047,N/A,N/A,0.0318,0.0376
KNN,GaussianCopula,0.6111,0.5419,0.6111,0.5656,N/A,N/A,-0.0655,-0.0722
KNN,Original,0.6597,0.6276,0.6597,0.6366,N/A,N/A,0.1136,0.118
KNN,TVAE,0.6944,0.4823,0.6944,0.5692,N/A,N/A,0.0,0.0
LogisticRegression,Anonymous,0.5972,0.5493,0.5972,0.5674,N/A,N/A,-0.0567,-0.0593
LogisticRegression,CTGAN,0.6736,0.5689,0.6736,0.5807,N/A,N/A,-0.0059,-0.0097
LogisticRegression,GaussianCopula,0.7917,0.7856,0.7917,0.7871,N/A,N/A,0.4896,0.4922
LogisticRegression,Original,0.7361,0.7516,0.7361,0.7416,N/A,N/A,0.4083,0.4115
LogisticRegression,TVAE,0.6319,0.5582,0.6319,0.5794,N/A,N/A,-0.0314,-0.0359
RandomForest,Anonymous,0.6181,0.6253,0.6181,0.6214,N/A,N/A,0.1169,0.117
RandomForest,CTGAN,0.6736,0.5407,0.6736,0.5704,N/A,N/A,-0.023,-0.0435
RandomForest,GaussianCopula,0.7569,0.749,0.7569,0.7265,N/A,N/A,0.3291,0.3666
RandomForest,Original,0.8472,0.8451,0.8472,0.8411,N/A,N/A,0.6155,0.6252
RandomForest,TVAE,0.5556,0.5719,0.5556,0.5629,N/A,N/A,-0.0088,-0.0088
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,N/A,N/A,0.0,0.0
SVM,CTGAN,0.6875,0.5845,0.6875,0.5778,N/A,N/A,0.0037,0.0088
SVM,GaussianCopula,0.6944,0.4823,0.6944,0.5692,N/A,N/A,0.0,0.0
SVM,Original,0.6944,0.4823,0.6944,0.5692,N/A,N/A,0.0,0.0
SVM,TVAE,0.6944,0.4823,0.6944,0.5692,N/A,N/A,0.0,0.0
