Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.5208,0.5723,0.5208,0.5382,,,-0.0073,-0.0076
DecisionTree,CTGAN,0.5556,0.6032,0.5556,0.5713,,,0.0604,0.0626
DecisionTree,GaussianCopula,0.7292,0.7385,0.7292,0.733,,,0.3815,0.3827
DecisionTree,Original,0.7569,0.7619,0.7569,0.7591,,,0.438,0.4385
DecisionTree,TVAE,0.5278,0.5556,0.5278,0.5394,,,-0.0462,-0.0467
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373
KNN,CTGAN,0.6111,0.6111,0.6111,0.6111,,,0.0836,0.0836
KNN,GaussianCopula,0.6111,0.5419,0.6111,0.5656,,,-0.0655,-0.0722
KNN,Original,0.6597,0.6276,0.6597,0.6366,,,0.1136,0.118
KNN,TVAE,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0
LogisticRegression,Anonymous,0.5972,0.5493,0.5972,0.5674,,,-0.0567,-0.0593
LogisticRegression,CTGAN,0.4514,0.5607,0.4514,0.4678,,,-0.0252,-0.0298
LogisticRegression,GaussianCopula,0.7917,0.7856,0.7917,0.7871,,,0.4896,0.4922
LogisticRegression,Original,0.7361,0.7516,0.7361,0.7416,,,0.4083,0.4115
LogisticRegression,TVAE,0.6319,0.5582,0.6319,0.5794,,,-0.0314,-0.0359
RandomForest,Anonymous,0.5972,0.6124,0.5972,0.6038,,,0.0858,0.0862
RandomForest,CTGAN,0.4861,0.6238,0.4861,0.4957,,,0.0724,0.0907
RandomForest,GaussianCopula,0.7917,0.7882,0.7917,0.7735,,,0.4456,0.4725
RandomForest,Original,0.8264,0.8219,0.8264,0.8202,,,0.5661,0.5731
RandomForest,TVAE,0.5764,0.5737,0.5764,0.575,,,-0.0046,-0.0046
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0
SVM,CTGAN,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0
SVM,GaussianCopula,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0
SVM,Original,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0
SVM,TVAE,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0
