epochs,Dataset,Model,Accuracy
20.0,CTGAN,LogisticRegression,0.6958
40.0,CTGAN,LogisticRegression,0.6847000000000001
60.0,CTGAN,LogisticRegression,0.69442
80.0,CTGAN,LogisticRegression,0.69302
100.0,CTGAN,LogisticRegression,0.63612
120.0,CTGAN,LogisticRegression,0.69026
150.0,CTGAN,LogisticRegression,0.6986000000000001
200.0,CTGAN,LogisticRegression,0.66806
200.0,TVAE,LogisticRegression,0.68194
250.0,CTGAN,LogisticRegression,0.69164
250.0,TVAE,LogisticRegression,0.6986000000000001
300.0,CTGAN,LogisticRegression,0.6670875
300.0,GaussianCopula,LogisticRegression,0.7313625
300.0,TVAE,LogisticRegression,0.6896625
400.0,CTGAN,LogisticRegression,0.68746
400.0,TVAE,LogisticRegression,0.66112
500.0,CTGAN,LogisticRegression,0.68746
500.0,TVAE,LogisticRegression,0.7597400000000001
1000.0,CTGAN,LogisticRegression,0.67774
1000.0,TVAE,LogisticRegression,0.8403
