epochs,Dataset,Model,F1
20.0,CTGAN,LogisticRegression,0.57674
40.0,CTGAN,LogisticRegression,0.5793
60.0,CTGAN,LogisticRegression,0.5717000000000001
80.0,CTGAN,LogisticRegression,0.57506
100.0,CTGAN,LogisticRegression,0.57802
120.0,CTGAN,LogisticRegression,0.56956
150.0,CTGAN,LogisticRegression,0.58758
200.0,CTGAN,LogisticRegression,0.5797399999999999
200.0,TVAE,LogisticRegression,0.6079399999999999
250.0,CTGAN,LogisticRegression,0.58836
250.0,TVAE,LogisticRegression,0.58354
300.0,CTGAN,LogisticRegression,0.584075
300.0,GaussianCopula,LogisticRegression,0.6512687500000001
300.0,TVAE,LogisticRegression,0.58406875
400.0,CTGAN,LogisticRegression,0.5726
400.0,TVAE,LogisticRegression,0.59168
500.0,CTGAN,LogisticRegression,0.56792
500.0,TVAE,LogisticRegression,0.74802
1000.0,CTGAN,LogisticRegression,0.58306
1000.0,TVAE,LogisticRegression,0.8252
