epochs,Dataset,Model,F1
20.0,CTGAN,RandomForest,0.56868
40.0,CTGAN,RandomForest,0.5838599999999999
60.0,CTGAN,RandomForest,0.57484
80.0,CTGAN,RandomForest,0.5816399999999999
100.0,CTGAN,RandomForest,0.59188
120.0,CTGAN,RandomForest,0.56648
150.0,CTGAN,RandomForest,0.57086
200.0,CTGAN,RandomForest,0.57112
200.0,TVAE,RandomForest,0.5692
250.0,CTGAN,RandomForest,0.57572
250.0,TVAE,RandomForest,0.5692
300.0,CTGAN,RandomForest,0.5672
300.0,GaussianCopula,RandomForest,0.643625
300.0,TVAE,RandomForest,0.5706625
400.0,CTGAN,RandomForest,0.57412
400.0,TVAE,RandomForest,0.57314
500.0,CTGAN,RandomForest,0.5692
500.0,TVAE,RandomForest,0.7055
1000.0,CTGAN,RandomForest,0.57652
1000.0,TVAE,RandomForest,0.8032199999999999
