epochs,Dataset,Model,Recall
20.0,CTGAN,RandomForest,0.68886
40.0,CTGAN,RandomForest,0.6861200000000001
60.0,CTGAN,RandomForest,0.6958
80.0,CTGAN,RandomForest,0.69582
100.0,CTGAN,RandomForest,0.62222
120.0,CTGAN,RandomForest,0.6888799999999999
150.0,CTGAN,RandomForest,0.6833400000000001
200.0,CTGAN,RandomForest,0.6069599999999999
200.0,TVAE,RandomForest,0.6944
250.0,CTGAN,RandomForest,0.69024
250.0,TVAE,RandomForest,0.6944
300.0,CTGAN,RandomForest,0.65928125
300.0,GaussianCopula,RandomForest,0.72221875
300.0,TVAE,RandomForest,0.68619375
400.0,CTGAN,RandomForest,0.6944
400.0,TVAE,RandomForest,0.67778
500.0,CTGAN,RandomForest,0.6944
500.0,TVAE,RandomForest,0.7389
1000.0,CTGAN,RandomForest,0.6721999999999999
1000.0,TVAE,RandomForest,0.8125
