Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,Anonymous,0.6458,0.6391,0.6458,0.6422,0.5751,12.52,0.1492,0.1494,9,2.68,0.3,10.0,2.0,0.08,,,
DecisionTree,CTGAN_HYBRID,0.6111,0.585,0.6111,0.5954,0.51,14.017,0.0214,0.0217,9,2.68,0.3,10.0,2.0,0.08,300,8,336
DecisionTree,GaussianCopula_HYBRID,0.5347,0.5434,0.5347,0.5388,0.4614,16.7703,-0.0758,-0.0759,9,2.68,0.3,10.0,2.0,0.08,300,8,336
DecisionTree,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.5,11.0133,0.0,0.0,9,2.68,0.3,10.0,2.0,0.08,300,8,336
DecisionTree,Anonymous,0.6458,0.6391,0.6458,0.6422,0.577,12.2745,0.1492,0.1494,9,2.68,0.3,15.0,2.0,0.08,,,
DecisionTree,CTGAN_HYBRID,0.5972,0.5756,0.5972,0.5848,0.5048,14.2856,0.0,0.0,9,2.68,0.3,15.0,2.0,0.08,300,8,336
DecisionTree,GaussianCopula_HYBRID,0.5278,0.5503,0.5278,0.5376,0.4691,17.0206,-0.0588,-0.0593,9,2.68,0.3,15.0,2.0,0.08,300,8,336
DecisionTree,TVAE_HYBRID,0.6389,0.5409,0.6389,0.569,0.4791,13.0158,-0.0517,-0.065,9,2.68,0.3,15.0,2.0,0.08,300,8,336
DecisionTree,Anonymous,0.625,0.6202,0.625,0.6225,0.5542,12.7875,0.105,0.105,0,0.0,0.3,20.0,2.0,0.08,,,
DecisionTree,CTGAN_HYBRID,0.5903,0.6286,0.5903,0.6035,0.5633,14.5272,0.1187,0.1218,0,0.0,0.3,20.0,2.0,0.08,300,8,336
DecisionTree,GaussianCopula_HYBRID,0.4792,0.537,0.4792,0.4988,0.4532,18.7727,-0.0826,-0.0867,0,0.0,0.3,20.0,2.0,0.08,300,8,336
DecisionTree,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.5,11.0133,0.0,0.0,0,0.0,0.3,20.0,2.0,0.08,300,8,336
DecisionTree,Anonymous,0.6319,0.6343,0.6319,0.6331,0.5716,13.0206,0.1382,0.1382,1,0.3,0.3,5.0,2.0,0.08,,,
DecisionTree,CTGAN_HYBRID,0.5069,0.6027,0.5069,0.5248,0.5305,17.7715,0.0498,0.0564,1,0.3,0.3,5.0,2.0,0.08,300,8,336
DecisionTree,GaussianCopula_HYBRID,0.5417,0.5417,0.5417,0.5417,0.46,16.52,-0.08,-0.08,1,0.3,0.3,5.0,2.0,0.08,300,8,336
