Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,Anonymous,0.6875,0.6297,0.6875,0.6159,0.5086,0.6363,0.0679,0.093,9,2.68,0.3,10.0,2.0,0.25,,,
LogisticRegression,CTGAN_HYBRID,0.6875,0.4808,0.6875,0.5658,0.4536,0.7092,-0.0138,-0.0555,9,2.68,0.3,10.0,2.0,0.25,300,8,336
LogisticRegression,GaussianCopula_HYBRID,0.6875,0.6245,0.6875,0.6076,0.5005,0.6379,0.0526,0.0778,9,2.68,0.3,10.0,2.0,0.25,300,8,336
LogisticRegression,TVAE_HYBRID,0.6458,0.5941,0.6458,0.6072,0.5016,2.0158,0.0367,0.04,9,2.68,0.3,10.0,2.0,0.25,300,8,336
LogisticRegression,Anonymous,0.6875,0.6297,0.6875,0.6159,0.5086,0.6363,0.0679,0.093,9,2.68,0.3,15.0,2.0,0.25,,,
LogisticRegression,CTGAN_HYBRID,0.7014,0.6913,0.7014,0.5965,0.47,0.6521,0.048,0.1143,9,2.68,0.3,15.0,2.0,0.25,300,8,336
LogisticRegression,GaussianCopula_HYBRID,0.6875,0.6245,0.6875,0.6076,0.5005,0.6379,0.0526,0.0778,9,2.68,0.3,15.0,2.0,0.25,300,8,336
LogisticRegression,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.4884,1.9572,0.0,0.0,9,2.68,0.3,15.0,2.0,0.25,300,8,336
LogisticRegression,Anonymous,0.7014,0.6913,0.7014,0.5965,0.4793,0.6341,0.048,0.1143,0,0.0,0.3,20.0,2.0,0.25,,,
LogisticRegression,CTGAN_HYBRID,0.5625,0.5278,0.5625,0.5427,0.4395,0.6892,-0.1085,-0.1106,0,0.0,0.3,20.0,2.0,0.25,300,8,336
LogisticRegression,GaussianCopula_HYBRID,0.6875,0.6176,0.6875,0.5985,0.5332,0.6235,0.0369,0.0604,0,0.0,0.3,20.0,2.0,0.25,300,8,336
LogisticRegression,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.4868,2.1436,0.0,0.0,0,0.0,0.3,20.0,2.0,0.25,300,8,336
LogisticRegression,Anonymous,0.6806,0.5849,0.6806,0.5847,0.505,0.6334,0.0072,0.0126,1,0.3,0.3,5.0,2.0,0.25,,,
LogisticRegression,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,0.5245,0.6349,0.0,0.0,1,0.3,0.3,5.0,2.0,0.25,300,8,336
LogisticRegression,GaussianCopula_HYBRID,0.6944,0.6369,0.6944,0.5815,0.452,0.664,0.0174,0.0501,1,0.3,0.3,5.0,2.0,0.25,300,8,336
LogisticRegression,TVAE_HYBRID,0.7014,0.7912,0.7014,0.5851,0.5348,2.1634,0.0313,0.1261,1,0.3,0.3,5.0,2.0,0.25,300,8,336
