Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,Anonymous,0.6597,0.6533,0.6597,0.6562,0.5936,11.7739,0.1826,0.1828,9,2.68,0.3,10.0,2.0,0.04,,,
DecisionTree,CTGAN_HYBRID,0.6806,0.6318,0.6806,0.632,0.5409,11.5139,0.098,0.114,9,2.68,0.3,10.0,2.0,0.04,300,8,336
DecisionTree,GaussianCopula_HYBRID,0.5486,0.5624,0.5486,0.555,0.4841,16.2697,-0.0308,-0.0309,9,2.68,0.3,10.0,2.0,0.04,300,8,336
DecisionTree,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.5,11.0133,0.0,0.0,9,2.68,0.3,10.0,2.0,0.04,300,8,336
DecisionTree,Anonymous,0.6458,0.6391,0.6458,0.6422,0.577,12.2745,0.1492,0.1494,9,2.68,0.3,15.0,2.0,0.04,,,
DecisionTree,CTGAN_HYBRID,0.5625,0.5349,0.5625,0.547,0.4559,15.7691,-0.0935,-0.0947,9,2.68,0.3,15.0,2.0,0.04,300,8,336
DecisionTree,GaussianCopula_HYBRID,0.5347,0.5489,0.5347,0.5413,0.4677,16.7703,-0.0626,-0.0628,9,2.68,0.3,15.0,2.0,0.04,300,8,336
DecisionTree,TVAE_HYBRID,0.6736,0.6052,0.6736,0.6068,0.5168,11.7642,0.0419,0.0541,9,2.68,0.3,15.0,2.0,0.04,300,8,336
DecisionTree,Anonymous,0.6389,0.6297,0.6389,0.6338,0.5644,12.2869,0.1269,0.1272,0,0.0,0.3,20.0,2.0,0.04,,,
DecisionTree,CTGAN_HYBRID,0.6736,0.6596,0.6736,0.665,0.5932,11.7642,0.1951,0.1965,0,0.0,0.3,20.0,2.0,0.04,300,8,336
DecisionTree,GaussianCopula_HYBRID,0.5,0.5547,0.5,0.5185,0.4745,18.0218,-0.0452,-0.0472,0,0.0,0.3,20.0,2.0,0.04,300,8,336
DecisionTree,TVAE_HYBRID,0.6806,0.4793,0.6806,0.5624,0.49,11.5139,-0.0273,-0.0787,0,0.0,0.3,20.0,2.0,0.04,300,8,336
DecisionTree,Anonymous,0.625,0.625,0.625,0.625,0.562,13.0254,0.1164,0.1164,1,0.3,0.3,5.0,2.0,0.04,,,
DecisionTree,CTGAN_HYBRID,0.5833,0.5237,0.5833,0.547,0.4518,15.0182,-0.1088,-0.1154,1,0.3,0.3,5.0,2.0,0.04,300,8,336
DecisionTree,GaussianCopula_HYBRID,0.5139,0.5075,0.5139,0.5106,0.4209,17.5212,-0.1602,-0.1603,1,0.3,0.3,5.0,2.0,0.04,300,8,336
