Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,Anonymous,0.7014,0.6913,0.7014,0.5965,0.4793,0.6341,0.048,0.1143,0,0.0,0.3,10.0,2.0,0.01,,,
LogisticRegression,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,0.5525,0.6191,0.0,0.0,0,0.0,0.3,10.0,2.0,0.01,300,8,336
LogisticRegression,GaussianCopula_HYBRID,0.6875,0.6176,0.6875,0.5985,0.5332,0.6235,0.0369,0.0604,0,0.0,0.3,10.0,2.0,0.01,300,8,336
LogisticRegression,TVAE_HYBRID,0.7014,0.7912,0.7014,0.5851,0.5239,1.8348,0.0313,0.1261,0,0.0,0.3,10.0,2.0,0.01,300,8,336
LogisticRegression,Anonymous,0.7014,0.6913,0.7014,0.5965,0.4793,0.6341,0.048,0.1143,0,0.0,0.3,15.0,2.0,0.01,,,
LogisticRegression,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,0.563,0.6136,0.0,0.0,0,0.0,0.3,15.0,2.0,0.01,300,8,336
LogisticRegression,GaussianCopula_HYBRID,0.6875,0.6176,0.6875,0.5985,0.5332,0.6235,0.0369,0.0604,0,0.0,0.3,15.0,2.0,0.01,300,8,336
LogisticRegression,TVAE_HYBRID,0.6944,0.6568,0.6944,0.6535,0.5239,1.2295,0.1502,0.1695,0,0.0,0.3,15.0,2.0,0.01,300,8,336
LogisticRegression,Anonymous,0.7014,0.6913,0.7014,0.5965,0.4793,0.6341,0.048,0.1143,0,0.0,0.3,20.0,2.0,0.01,,,
LogisticRegression,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,0.4782,0.7071,0.0,0.0,0,0.0,0.3,20.0,2.0,0.01,300,8,336
LogisticRegression,GaussianCopula_HYBRID,0.6875,0.6176,0.6875,0.5985,0.5332,0.6235,0.0369,0.0604,0,0.0,0.3,20.0,2.0,0.01,300,8,336
LogisticRegression,TVAE_HYBRID,0.6944,0.6473,0.6944,0.6282,0.518,1.5051,0.0959,0.1273,0,0.0,0.3,20.0,2.0,0.01,300,8,336
LogisticRegression,Anonymous,0.6806,0.5849,0.6806,0.5847,0.505,0.6334,0.0072,0.0126,1,0.3,0.3,5.0,2.0,0.01,,,
LogisticRegression,CTGAN_HYBRID,0.6736,0.4777,0.6736,0.559,0.5539,0.635,-0.0406,-0.0968,1,0.3,0.3,5.0,2.0,0.01,300,8,336
LogisticRegression,GaussianCopula_HYBRID,0.6944,0.6369,0.6944,0.5815,0.452,0.664,0.0174,0.0501,1,0.3,0.3,5.0,2.0,0.01,300,8,336
LogisticRegression,TVAE_HYBRID,0.6944,0.6496,0.6944,0.6353,0.5309,1.5716,0.1101,0.1385,1,0.3,0.3,5.0,2.0,0.01,300,8,336
