Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
RandomForest,Anonymous,0.6181,0.6107,0.6181,0.6141,0.5689,0.8596,0.0825,0.0826,9,2.68,0.3,10.0,2.0,0.05,,,
RandomForest,CTGAN_HYBRID,0.5486,0.5886,0.5486,0.5632,0.5336,0.7578,0.029,0.0298,9,2.68,0.3,10.0,2.0,0.05,300,8,336
RandomForest,GaussianCopula_HYBRID,0.6528,0.6484,0.6528,0.6505,0.5643,0.7457,0.1713,0.1714,9,2.68,0.3,10.0,2.0,0.05,300,8,336
RandomForest,Anonymous,0.6111,0.6061,0.6111,0.6085,0.5681,1.0771,0.0718,0.0719,9,2.68,0.3,15.0,2.0,0.05,,,
RandomForest,CTGAN_HYBRID,0.5486,0.5397,0.5486,0.544,0.4986,0.7319,-0.0843,-0.0844,9,2.68,0.3,15.0,2.0,0.05,300,8,336
RandomForest,GaussianCopula_HYBRID,0.6389,0.6343,0.6389,0.6365,0.5555,0.994,0.1381,0.1382,9,2.68,0.3,15.0,2.0,0.05,300,8,336
RandomForest,Anonymous,0.5972,0.5813,0.5972,0.5884,0.5428,1.5388,0.0132,0.0133,0,0.0,0.3,20.0,2.0,0.05,,,
RandomForest,CTGAN_HYBRID,0.5694,0.5155,0.5694,0.5376,0.4228,1.0884,-0.1296,-0.1354,0,0.0,0.3,20.0,2.0,0.05,300,8,336
RandomForest,GaussianCopula_HYBRID,0.5556,0.5719,0.5556,0.5629,0.4747,1.2781,-0.0088,-0.0088,0,0.0,0.3,20.0,2.0,0.05,300,8,336
RandomForest,Anonymous,0.625,0.6202,0.625,0.6225,0.5726,1.04,0.105,0.105,1,0.3,0.3,5.0,2.0,0.05,,,
RandomForest,CTGAN_HYBRID,0.6458,0.5874,0.6458,0.6014,0.558,1.1475,0.0224,0.0249,1,0.3,0.3,5.0,2.0,0.05,300,8,336
RandomForest,GaussianCopula_HYBRID,0.5764,0.5433,0.5764,0.5572,0.4373,0.8204,-0.0733,-0.0747,1,0.3,0.3,5.0,2.0,0.05,300,8,336
RandomForest,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.4934,10.3457,0.0,0.0,1,0.3,0.3,5.0,2.0,0.05,300,8,336
