Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,CTGAN,0.4653,0.5285,0.4653,0.4859,0.4553,2.2281,-0.0991,-0.1049,,,0.3,,,,1000.0,10.0,3360
KNN,TVAE,0.6181,0.547,0.6181,0.5702,0.4181,3.7894,-0.0543,-0.0605,,,0.3,,,,1000.0,10.0,3360
KNN,CTGAN,0.6597,0.5463,0.6597,0.5727,0.5532,2.9902,-0.0316,-0.0467,,,0.3,,,,1000.0,1.0,336
KNN,TVAE,0.6667,0.6029,0.6667,0.6094,0.5219,2.7698,0.0442,0.0533,,,0.3,,,,1000.0,1.0,336
KNN,CTGAN,0.6806,0.5997,0.6806,0.5943,0.5049,4.1924,0.0236,0.0366,,,0.3,,,,1000.0,2.0,672
KNN,TVAE,0.6389,0.5538,0.6389,0.5768,0.4591,3.5191,-0.0354,-0.0426,,,0.3,,,,1000.0,2.0,672
KNN,CTGAN,0.7014,0.7912,0.7014,0.5851,0.5155,5.104,0.0313,0.1261,,,0.3,,,,1000.0,3.0,1008
KNN,TVAE,0.6111,0.5315,0.6111,0.559,0.5406,2.7726,-0.0815,-0.092,,,0.3,,,,1000.0,3.0,1008
KNN,CTGAN,0.6667,0.529,0.6667,0.5666,0.4603,4.9132,-0.036,-0.0629,,,0.3,,,,1000.0,5.0,1680
KNN,TVAE,0.6806,0.6359,0.6806,0.6378,0.5519,2.7551,0.1116,0.1259,,,0.3,,,,1000.0,5.0,1680
