Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,CTGAN,0.4861,0.5311,0.4861,0.5033,0.4455,18.5224,-0.099,-0.1019,,,0.3,,,,200.0,10.0,3360
DecisionTree,TVAE,0.625,0.5615,0.625,0.5811,0.4882,13.5164,-0.0275,-0.0303,,,0.3,,,,200.0,10.0,3360
DecisionTree,CTGAN,0.5139,0.584,0.5139,0.533,0.51,17.5212,0.0172,0.0184,,,0.3,,,,200.0,1.0,336
DecisionTree,TVAE,0.6875,0.6176,0.6875,0.5985,0.5141,11.2636,0.0369,0.0604,,,0.3,,,,200.0,1.0,336
DecisionTree,CTGAN,0.4931,0.5768,0.4931,0.5126,0.5014,18.2721,0.0023,0.0025,,,0.3,,,,200.0,2.0,672
DecisionTree,TVAE,0.6181,0.5779,0.6181,0.5921,0.5023,13.7667,0.005,0.0052,,,0.3,,,,200.0,2.0,672
DecisionTree,CTGAN,0.4861,0.6238,0.4861,0.4957,0.5473,18.5224,0.0724,0.0907,,,0.3,,,,200.0,3.0,1008
DecisionTree,TVAE,0.6389,0.6106,0.6389,0.6206,0.5364,13.0158,0.0787,0.0806,,,0.3,,,,200.0,3.0,1008
DecisionTree,CTGAN,0.5833,0.5989,0.5833,0.5902,0.5282,15.0182,0.0543,0.0545,,,0.3,,,,200.0,5.0,1680
DecisionTree,TVAE,0.5694,0.5694,0.5694,0.5694,0.4927,15.5188,-0.0145,-0.0145,,,0.3,,,,200.0,5.0,1680
