Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,CTGAN,0.6944,0.4823,0.6944,0.5692,0.4127,0.6515,0.0,0.0,,,0.3,,,,200.0,10.0,3360
LogisticRegression,TVAE,0.6597,0.5863,0.6597,0.5976,0.5186,2.2746,0.0167,0.0206,,,0.3,,,,200.0,10.0,3360
LogisticRegression,CTGAN,0.6667,0.5564,0.6667,0.5767,0.478,0.6607,-0.0189,-0.0293,,,0.3,,,,200.0,1.0,336
LogisticRegression,TVAE,0.7083,0.7202,0.7083,0.6111,0.46,1.6288,0.078,0.1631,,,0.3,,,,200.0,1.0,336
LogisticRegression,CTGAN,0.6042,0.537,0.6042,0.5609,0.3045,0.718,-0.0766,-0.0834,,,0.3,,,,200.0,2.0,672
LogisticRegression,TVAE,0.7014,0.6636,0.7014,0.625,0.5016,1.987,0.0947,0.1401,,,0.3,,,,200.0,2.0,672
LogisticRegression,CTGAN,0.6736,0.6052,0.6736,0.6068,0.4505,0.6651,0.0419,0.0541,,,0.3,,,,200.0,3.0,1008
LogisticRegression,TVAE,0.6736,0.5854,0.6736,0.5901,0.5345,1.8353,0.0105,0.0156,,,0.3,,,,200.0,3.0,1008
LogisticRegression,CTGAN,0.7014,0.7912,0.7014,0.5851,0.3359,0.6452,0.0313,0.1261,,,0.3,,,,200.0,5.0,1680
LogisticRegression,TVAE,0.6667,0.6093,0.6667,0.6159,0.5495,1.9449,0.0588,0.0684,,,0.3,,,,200.0,5.0,1680
