Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
SVM,CTGAN,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,,,0.3,,,,300.0,10.0,3360
SVM,GaussianCopula,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,,,0.3,,,,300.0,10.0,3360
SVM,TVAE,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,,,0.3,,,,300.0,10.0,3360
SVM,CTGAN,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,,,0.3,,,,300.0,1.0,336
SVM,GaussianCopula,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,,,0.3,,,,300.0,1.0,336
SVM,TVAE,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,,,0.3,,,,300.0,1.0,336
SVM,CTGAN,0.7014,0.7912,0.7014,0.5851,,,0.0313,0.1261,,,0.3,,,,300.0,2.0,672
SVM,GaussianCopula,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,,,0.3,,,,300.0,2.0,672
SVM,TVAE,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,,,0.3,,,,300.0,2.0,672
SVM,CTGAN,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,,,0.3,,,,300.0,3.0,1008
SVM,GaussianCopula,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,,,0.3,,,,300.0,3.0,1008
SVM,TVAE,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,,,0.3,,,,300.0,3.0,1008
SVM,CTGAN,0.6875,0.4808,0.6875,0.5658,,,-0.0138,-0.0555,,,0.3,,,,300.0,5.0,1680
SVM,GaussianCopula,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,,,0.3,,,,300.0,5.0,1680
SVM,TVAE,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,,,0.3,,,,300.0,5.0,1680
SVM,CTGAN,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,,,0.05,,,,300,8,336
SVM,GaussianCopula,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,,,0.05,,,,300,8,336
SVM,TVAE,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,,,0.05,,,,300,8,336
SVM,CTGAN,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,,,0.1,,,,300,8,336
SVM,GaussianCopula,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,,,0.1,,,,300,8,336
SVM,TVAE,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,,,0.1,,,,300,8,336
SVM,CTGAN,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,,,0.15,,,,300,8,336
